PC: 0x0000000080000000, INSTR: 0x00000413, REG x8: 0x0000000000000000
PC: 0x0000000080000004, INSTR: 0x00009117, REG x2: 0x0000000080009004
PC: 0x0000000080000008, INSTR: 0xffc10113, REG x2: 0x0000000080009000
PC: 0x000000008000000c, INSTR: 0x00c000ef, REG x1: 0x0000000080000010
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x0000000080008ff0
PC: 0x000000008000001c, INSTR: 0x00000517, REG x10: 0x000000008000001c
PC: 0x0000000080000020, INSTR: 0x01c50513, REG x10: 0x0000000080000038
PC: 0x0000000080000024, INSTR: 0x00113423, MEM 0x0000000080008ff8: 0x0000000080000010
PC: 0x0000000080000028, INSTR: 0xfe9ff0ef, REG x1: 0x000000008000002c
PC: 0x0000000080000010, INSTR: 0x00000513, REG x10: 0x0000000000000000
PC: 0x0000000080000014, INSTR: 0x00008067
PC: 0x000000008000002c, INSTR: 0x00050513, REG x10: 0x0000000000000000
