PC: 0x0000000080000000, INSTR: 0x08005eb7, REG x29: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x004e9e93, REG x29: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff0e8e93, REG x29: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x002eb023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0xffde70b7, REG x1: 0xffffffffffde7000
PC: 0x0000000080000098, INSTR: 0xc990809b, REG x1: 0xffffffffffde6c99
PC: 0x000000008000009c, INSTR: 0x00d09093, REG x1: 0xfffffffbcd932000
PC: 0x00000000800000a0, INSTR: 0x23b08093, REG x1: 0xfffffffbcd93223b
PC: 0x00000000800000a4, INSTR: 0x00d09093, REG x1: 0xffff79b264476000
PC: 0x00000000800000a8, INSTR: 0x79d08093, REG x1: 0xffff79b26447679d
PC: 0x00000000800000ac, INSTR: 0x00c09093, REG x1: 0xf79b26447679d000
PC: 0x00000000800000b0, INSTR: 0x2fb08093, REG x1: 0xf79b26447679d2fb
PC: 0x00000000800000b4, INSTR: 0xfe4ed1b7, REG x3: 0xfffffffffe4ed000
PC: 0x00000000800000b8, INSTR: 0x46b1819b, REG x3: 0xfffffffffe4ed46b
PC: 0x00000000800000bc, INSTR: 0x00c19193, REG x3: 0xffffffe4ed46b000
PC: 0x00000000800000c0, INSTR: 0x82518193, REG x3: 0xffffffe4ed46a825
PC: 0x00000000800000c4, INSTR: 0x00c19193, REG x3: 0xfffe4ed46a825000
PC: 0x00000000800000c8, INSTR: 0x4cb18193, REG x3: 0xfffe4ed46a8254cb
PC: 0x00000000800000cc, INSTR: 0x00e19193, REG x3: 0x93b51aa09532c000
PC: 0x00000000800000d0, INSTR: 0x48118193, REG x3: 0x93b51aa09532c481
PC: 0x00000000800000d4, INSTR: 0xff5ab237, REG x4: 0xffffffffff5ab000
PC: 0x00000000800000d8, INSTR: 0xee12021b, REG x4: 0xffffffffff5aaee1
PC: 0x00000000800000dc, INSTR: 0x00c21213, REG x4: 0xfffffff5aaee1000
PC: 0x00000000800000e0, INSTR: 0x21520213, REG x4: 0xfffffff5aaee1215
PC: 0x00000000800000e4, INSTR: 0x00e21213, REG x4: 0xfffd6abb84854000
PC: 0x00000000800000e8, INSTR: 0xb1320213, REG x4: 0xfffd6abb84853b13
PC: 0x00000000800000ec, INSTR: 0x00c21213, REG x4: 0xd6abb84853b13000
PC: 0x00000000800000f0, INSTR: 0xb1920213, REG x4: 0xd6abb84853b12b19
PC: 0x00000000800000f4, INSTR: 0x013262b7, REG x5: 0x0000000001326000
PC: 0x00000000800000f8, INSTR: 0x04f2829b, REG x5: 0x000000000132604f
PC: 0x00000000800000fc, INSTR: 0x00d29293, REG x5: 0x000000264c09e000
PC: 0x0000000080000100, INSTR: 0x23b28293, REG x5: 0x000000264c09e23b
PC: 0x0000000080000104, INSTR: 0x00c29293, REG x5: 0x000264c09e23b000
PC: 0x0000000080000108, INSTR: 0x16128293, REG x5: 0x000264c09e23b161
PC: 0x000000008000010c, INSTR: 0x00d29293, REG x5: 0x4c9813c4762c2000
PC: 0x0000000080000110, INSTR: 0xbdc28293, REG x5: 0x4c9813c4762c1bdc
PC: 0x0000000080000114, INSTR: 0x02959337, REG x6: 0x0000000002959000
PC: 0x0000000080000118, INSTR: 0x19b3031b, REG x6: 0x000000000295919b
PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0x000000295919b000
PC: 0x0000000080000120, INSTR: 0x88930313, REG x6: 0x000000295919a889
PC: 0x0000000080000124, INSTR: 0x00c31313, REG x6: 0x000295919a889000
PC: 0x0000000080000128, INSTR: 0xba730313, REG x6: 0x000295919a888ba7
