PC: 0x0000000080000000, INSTR: 0x08005eb7, REG x29: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x004e9e93, REG x29: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff0e8e93, REG x29: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x002eb023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0xff85d0b7, REG x1: 0xffffffffff85d000
PC: 0x0000000080000098, INSTR: 0x0eb0809b, REG x1: 0xffffffffff85d0eb
PC: 0x000000008000009c, INSTR: 0x00d09093, REG x1: 0xfffffff0ba1d6000
PC: 0x00000000800000a0, INSTR: 0x50308093, REG x1: 0xfffffff0ba1d6503
PC: 0x00000000800000a4, INSTR: 0x00d09093, REG x1: 0xfffe1743aca06000
PC: 0x00000000800000a8, INSTR: 0x7c708093, REG x1: 0xfffe1743aca067c7
PC: 0x00000000800000ac, INSTR: 0x00d09093, REG x1: 0xc2e875940cf8e000
PC: 0x00000000800000b0, INSTR: 0x48408093, REG x1: 0xc2e875940cf8e484
PC: 0x00000000800000b4, INSTR: 0xfff731b7, REG x3: 0xfffffffffff73000
PC: 0x00000000800000b8, INSTR: 0x73f1819b, REG x3: 0xfffffffffff7373f
PC: 0x00000000800000bc, INSTR: 0x00c19193, REG x3: 0xffffffff7373f000
PC: 0x00000000800000c0, INSTR: 0xe7918193, REG x3: 0xffffffff7373ee79
PC: 0x00000000800000c4, INSTR: 0x01219193, REG x3: 0xfffdcdcfb9e40000
PC: 0x00000000800000c8, INSTR: 0x0cd18193, REG x3: 0xfffdcdcfb9e400cd
PC: 0x00000000800000cc, INSTR: 0x00c19193, REG x3: 0xdcdcfb9e400cd000
PC: 0x00000000800000d0, INSTR: 0x8fe18193, REG x3: 0xdcdcfb9e400cc8fe
PC: 0x00000000800000d4, INSTR: 0x003fd237, REG x4: 0x00000000003fd000
PC: 0x00000000800000d8, INSTR: 0x8d12021b, REG x4: 0x00000000003fc8d1
PC: 0x00000000800000dc, INSTR: 0x00c21213, REG x4: 0x00000003fc8d1000
PC: 0x00000000800000e0, INSTR: 0x50f20213, REG x4: 0x00000003fc8d150f
PC: 0x00000000800000e4, INSTR: 0x00d21213, REG x4: 0x00007f91a2a1e000
PC: 0x00000000800000e8, INSTR: 0xeb920213, REG x4: 0x00007f91a2a1deb9
PC: 0x00000000800000ec, INSTR: 0x01021213, REG x4: 0x7f91a2a1deb90000
PC: 0x00000000800000f0, INSTR: 0x4e820213, REG x4: 0x7f91a2a1deb904e8
PC: 0x00000000800000f4, INSTR: 0xb969b2b7, REG x5: 0xffffffffb969b000
PC: 0x00000000800000f8, INSTR: 0x3392829b, REG x5: 0xffffffffb969b339
PC: 0x00000000800000fc, INSTR: 0x00c29293, REG x5: 0xfffffb969b339000
PC: 0x0000000080000100, INSTR: 0xb3d28293, REG x5: 0xfffffb969b338b3d
PC: 0x0000000080000104, INSTR: 0x00e29293, REG x5: 0xfee5a6cce2cf4000
PC: 0x0000000080000108, INSTR: 0x7ff28293, REG x5: 0xfee5a6cce2cf47ff
PC: 0x000000008000010c, INSTR: 0x0012d293, REG x5: 0x7f72d3667167a3ff
PC: 0x0000000080000110, INSTR: 0x0075b337, REG x6: 0x000000000075b000
PC: 0x0000000080000114, INSTR: 0xbe13031b, REG x6: 0x000000000075abe1
PC: 0x0000000080000118, INSTR: 0x00c31313, REG x6: 0x000000075abe1000
PC: 0x000000008000011c, INSTR: 0x07130313, REG x6: 0x000000075abe1071
PC: 0x0000000080000120, INSTR: 0x00c31313, REG x6: 0x000075abe1071000
PC: 0x0000000080000124, INSTR: 0x7eb30313, REG x6: 0x000075abe10717eb
