PC: 0x0000000080000000, INSTR: 0x08005fb7, REG x31: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x004f9f93, REG x31: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff0f8f93, REG x31: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x002fb023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0xfe3600b7, REG x1: 0xfffffffffe360000
PC: 0x0000000080000098, INSTR: 0xcab0809b, REG x1: 0xfffffffffe35fcab
PC: 0x000000008000009c, INSTR: 0x00c09093, REG x1: 0xffffffe35fcab000
PC: 0x00000000800000a0, INSTR: 0xde708093, REG x1: 0xffffffe35fcaade7
PC: 0x00000000800000a4, INSTR: 0x00e09093, REG x1: 0xfff8d7f2ab79c000
PC: 0x00000000800000a8, INSTR: 0x67108093, REG x1: 0xfff8d7f2ab79c671
PC: 0x00000000800000ac, INSTR: 0x00c09093, REG x1: 0x8d7f2ab79c671000
PC: 0x00000000800000b0, INSTR: 0x78f08093, REG x1: 0x8d7f2ab79c67178f
PC: 0x00000000800000b4, INSTR: 0xffece1b7, REG x3: 0xffffffffffece000
PC: 0x00000000800000b8, INSTR: 0xc471819b, REG x3: 0xffffffffffecdc47
PC: 0x00000000800000bc, INSTR: 0x00d19193, REG x3: 0xfffffffd9b88e000
PC: 0x00000000800000c0, INSTR: 0xa6518193, REG x3: 0xfffffffd9b88da65
PC: 0x00000000800000c4, INSTR: 0x00f19193, REG x3: 0xfffecdc46d328000
PC: 0x00000000800000c8, INSTR: 0xa9518193, REG x3: 0xfffecdc46d327a95
PC: 0x00000000800000cc, INSTR: 0x00d19193, REG x3: 0xd9b88da64f52a000
PC: 0x00000000800000d0, INSTR: 0x9dd18193, REG x3: 0xd9b88da64f5299dd
PC: 0x00000000800000d4, INSTR: 0xfa1d7237, REG x4: 0xfffffffffa1d7000
PC: 0x00000000800000d8, INSTR: 0xe592021b, REG x4: 0xfffffffffa1d6e59
PC: 0x00000000800000dc, INSTR: 0x00c21213, REG x4: 0xffffffa1d6e59000
PC: 0x00000000800000e0, INSTR: 0x43f20213, REG x4: 0xffffffa1d6e5943f
PC: 0x00000000800000e4, INSTR: 0x00c21213, REG x4: 0xfffa1d6e5943f000
PC: 0x00000000800000e8, INSTR: 0xc2920213, REG x4: 0xfffa1d6e5943ec29
PC: 0x00000000800000ec, INSTR: 0x00c21213, REG x4: 0xa1d6e5943ec29000
PC: 0x00000000800000f0, INSTR: 0xec820213, REG x4: 0xa1d6e5943ec28ec8
PC: 0x00000000800000f4, INSTR: 0x000cd2b7, REG x5: 0x00000000000cd000
PC: 0x00000000800000f8, INSTR: 0x6d72829b, REG x5: 0x00000000000cd6d7
PC: 0x00000000800000fc, INSTR: 0x00e29293, REG x5: 0x0000000335b5c000
PC: 0x0000000080000100, INSTR: 0xfb728293, REG x5: 0x0000000335b5bfb7
PC: 0x0000000080000104, INSTR: 0x00e29293, REG x5: 0x0000cd6d6fedc000
PC: 0x0000000080000108, INSTR: 0xe8f28293, REG x5: 0x0000cd6d6fedbe8f
PC: 0x000000008000010c, INSTR: 0x00d29293, REG x5: 0x19adadfdb7d1e000
PC: 0x0000000080000110, INSTR: 0xc4c28293, REG x5: 0x19adadfdb7d1dc4c
PC: 0x0000000080000114, INSTR: 0xff59f337, REG x6: 0xffffffffff59f000
PC: 0x0000000080000118, INSTR: 0x3cf3031b, REG x6: 0xffffffffff59f3cf
PC: 0x000000008000011c, INSTR: 0x00d31313, REG x6: 0xffffffeb3e79e000
PC: 0x0000000080000120, INSTR: 0x67f30313, REG x6: 0xffffffeb3e79e67f
PC: 0x0000000080000124, INSTR: 0x00c31313, REG x6: 0xfffeb3e79e67f000
PC: 0x0000000080000128, INSTR: 0x1b130313, REG x6: 0xfffeb3e79e67f1b1
PC: 0x000000008000012c, INSTR: 0x00d31313, REG x6: 0xd67cf3ccfe362000
PC: 0x0000000080000130, INSTR: 0x2ba30313, REG x6: 0xd67cf3ccfe3622ba
PC: 0x0000000080000134, INSTR: 0x00f9b3b7, REG x7: 0x0000000000f9b000
PC: 0x0000000080000138, INSTR: 0xc193839b, REG x7: 0x0000000000f9ac19
PC: 0x000000008000013c, INSTR: 0x00e39393, REG x7: 0x0000003e6b064000
PC: 0x0000000080000140, INSTR: 0xca938393, REG x7: 0x0000003e6b063ca9
PC: 0x0000000080000144, INSTR: 0x00d39393, REG x7: 0x0007cd60c7952000
PC: 0x0000000080000148, INSTR: 0xc3138393, REG x7: 0x0007cd60c7951c31
PC: 0x000000008000014c, INSTR: 0x00c39393, REG x7: 0x7cd60c7951c31000
PC: 0x0000000080000150, INSTR: 0x93d38393, REG x7: 0x7cd60c7951c3093d
PC: 0x0000000080000154, INSTR: 0xfe2cb437, REG x8: 0xfffffffffe2cb000
PC: 0x0000000080000158, INSTR: 0xb834041b, REG x8: 0xfffffffffe2cab83
PC: 0x000000008000015c, INSTR: 0x00d41413, REG x8: 0xffffffc595706000
PC: 0x0000000080000160, INSTR: 0x86140413, REG x8: 0xffffffc595705861
PC: 0x0000000080000164, INSTR: 0x00c41413, REG x8: 0xfffc595705861000
PC: 0x0000000080000168, INSTR: 0xe9140413, REG x8: 0xfffc595705860e91
PC: 0x000000008000016c, INSTR: 0x00d41413, REG x8: 0x8b2ae0b0c1d22000
PC: 0x0000000080000170, INSTR: 0x00540413, REG x8: 0x8b2ae0b0c1d22005
PC: 0x0000000080000174, INSTR: 0xfff474b7, REG x9: 0xfffffffffff47000
PC: 0x0000000080000178, INSTR: 0x47f4849b, REG x9: 0xfffffffffff4747f
PC: 0x000000008000017c, INSTR: 0x00c49493, REG x9: 0xffffffff4747f000
PC: 0x0000000080000180, INSTR: 0x72148493, REG x9: 0xffffffff4747f721
PC: 0x0000000080000184, INSTR: 0x00d49493, REG x9: 0xffffe8e8fee42000
PC: 0x0000000080000188, INSTR: 0xf2348493, REG x9: 0xffffe8e8fee41f23
PC: 0x000000008000018c, INSTR: 0x00c49493, REG x9: 0xfe8e8fee41f23000
PC: 0x0000000080000190, INSTR: 0xd3748493, REG x9: 0xfe8e8fee41f22d37
PC: 0x0000000080000194, INSTR: 0xff7d7537, REG x10: 0xffffffffff7d7000
PC: 0x0000000080000198, INSTR: 0x8b35051b, REG x10: 0xffffffffff7d68b3
PC: 0x000000008000019c, INSTR: 0x00c51513, REG x10: 0xfffffff7d68b3000
PC: 0x00000000800001a0, INSTR: 0x64350513, REG x10: 0xfffffff7d68b3643
