PC: 0x0000000080000000, INSTR: 0x08005537, REG x10: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x00451513, REG x10: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff050513, REG x10: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x00253023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0xff2fe0b7, REG x1: 0xffffffffff2fe000
PC: 0x0000000080000098, INSTR: 0xf110809b, REG x1: 0xffffffffff2fdf11
PC: 0x000000008000009c, INSTR: 0x00f09093, REG x1: 0xffffff97ef888000
PC: 0x00000000800000a0, INSTR: 0x1b508093, REG x1: 0xffffff97ef8881b5
PC: 0x00000000800000a4, INSTR: 0x00c09093, REG x1: 0xfff97ef8881b5000
PC: 0x00000000800000a8, INSTR: 0xfb508093, REG x1: 0xfff97ef8881b4fb5
PC: 0x00000000800000ac, INSTR: 0x00c09093, REG x1: 0x97ef8881b4fb5000
PC: 0x00000000800000b0, INSTR: 0x7a308093, REG x1: 0x97ef8881b4fb57a3
PC: 0x00000000800000b4, INSTR: 0xfe3651b7, REG x3: 0xfffffffffe365000
PC: 0x00000000800000b8, INSTR: 0x8ed1819b, REG x3: 0xfffffffffe3648ed
PC: 0x00000000800000bc, INSTR: 0x00d19193, REG x3: 0xffffffc6c91da000
PC: 0x00000000800000c0, INSTR: 0x5d718193, REG x3: 0xffffffc6c91da5d7
PC: 0x00000000800000c4, INSTR: 0x00c19193, REG x3: 0xfffc6c91da5d7000
PC: 0x00000000800000c8, INSTR: 0x49718193, REG x3: 0xfffc6c91da5d7497
PC: 0x00000000800000cc, INSTR: 0x00c19193, REG x3: 0xc6c91da5d7497000
PC: 0x00000000800000d0, INSTR: 0x63318193, REG x3: 0xc6c91da5d7497633
PC: 0x00000000800000d4, INSTR: 0x99bf3237, REG x4: 0xffffffff99bf3000
PC: 0x00000000800000d8, INSTR: 0x00521213, REG x4: 0xfffffff337e60000
PC: 0x00000000800000dc, INSTR: 0x98d20213, REG x4: 0xfffffff337e5f98d
PC: 0x00000000800000e0, INSTR: 0x00d21213, REG x4: 0xfffe66fcbf31a000
PC: 0x00000000800000e4, INSTR: 0xfc320213, REG x4: 0xfffe66fcbf319fc3
PC: 0x00000000800000e8, INSTR: 0x00e21213, REG x4: 0x99bf2fcc67f0c000
PC: 0x00000000800000ec, INSTR: 0xd7c20213, REG x4: 0x99bf2fcc67f0bd7c
PC: 0x00000000800000f0, INSTR: 0x03c542b7, REG x5: 0x0000000003c54000
PC: 0x00000000800000f4, INSTR: 0x1872829b, REG x5: 0x0000000003c54187
PC: 0x00000000800000f8, INSTR: 0x00d29293, REG x5: 0x00000078a830e000
PC: 0x00000000800000fc, INSTR: 0xbdb28293, REG x5: 0x00000078a830dbdb
PC: 0x0000000080000100, INSTR: 0x00c29293, REG x5: 0x00078a830dbdb000
PC: 0x0000000080000104, INSTR: 0x5eb28293, REG x5: 0x00078a830dbdb5eb
PC: 0x0000000080000108, INSTR: 0x00c29293, REG x5: 0x78a830dbdb5eb000
PC: 0x000000008000010c, INSTR: 0x94c28293, REG x5: 0x78a830dbdb5ea94c
PC: 0x0000000080000110, INSTR: 0xff9c1337, REG x6: 0xffffffffff9c1000
PC: 0x0000000080000114, INSTR: 0xd313031b, REG x6: 0xffffffffff9c0d31
