

CACHE_LINE_WIDTH: 512 bits, SET_COUNT: 4, ASSOCIATIVITY: 4-way
Test                          | Branch Acc |       CPI |  Pipe CPI |   I$ Hit |   D$ Hit
------------------------------+------------+-----------+-----------+----------+---------
am-add-longlong               |     93.66% |   47.0237 |    1.0448 |   99.41% |   92.90%
am-add                        |     88.14% |   34.5030 |    1.0858 |   99.45% |   95.15%
am-bit                        |     12.68% |   70.7500 |    1.4038 |   97.98% |   98.15%
am-bubble-sort                |     84.88% |    6.6181 |    1.0948 |   99.85% |   99.71%
am-crc32                      |     88.59% |    5.5140 |    1.0293 |   99.97% |   93.32%
am-div                        |     86.86% |   35.8893 |    1.0854 |   99.47% |   96.05%
am-dummy                      |      0.00% |  357.1667 |    1.8333 |   95.65% |   50.00%
am-fact                       |     80.00% |   50.6547 |    1.1179 |   99.07% |   91.11%
am-fib                        |     93.71% |   46.0817 |    1.0418 |   99.28% |   95.88%
am-goldbach                   |     88.34% |   16.4925 |    1.0944 |   99.67% |   87.50%
am-hello-str                  |     78.04% |   84.5167 |    1.1004 |   97.35% |   97.28%
am-if-else                    |     83.18% |   79.7855 |    1.1382 |   98.43% |   90.74%
am-leap-year                  |     93.48% |   22.2591 |    1.0484 |   99.79% |   93.33%
am-load-store                 |     79.82% |   75.6888 |    1.1223 |   97.90% |   95.35%
am-matrix-mul                 |     80.94% |   19.0269 |    1.0746 |   99.94% |   98.58%
am-max                        |     84.68% |   28.7577 |    1.1190 |   99.53% |   95.78%
am-mersenne                   |     75.38% |   26.1325 |    1.1325 |   99.46% |   83.33%
am-min3                       |     74.23% |   28.5896 |    1.1980 |   99.55% |   95.63%
am-mov-c                      |     28.00% |  225.4675 |    1.4935 |   95.83% |   88.46%
am-movsx                      |     29.73% |  186.6250 |    1.4219 |   95.79% |   92.86%
am-mul-longlong               |     63.49% |  102.0181 |    1.2172 |   98.18% |   90.38%
am-pascal                     |     92.77% |    8.5898 |    1.0281 |   99.85% |   99.39%
am-prime                      |     98.40% |   15.8134 |    1.0131 |   99.94% |   88.46%
am-quick-sort                 |     87.33% |   14.6722 |    1.0767 |   99.60% |   99.07%
am-recursion                  |     82.58% |    9.1701 |    1.0608 |   99.79% |   99.53%
am-select-sort                |     88.58% |    7.8175 |    1.0785 |   99.81% |   99.45%
am-shift                      |     84.00% |   68.0619 |    1.1053 |   98.34% |   93.85%
am-shuixianhua                |     97.93% |   46.5111 |    1.0059 |   99.92% |   87.50%
am-string                     |     88.20% |   20.9131 |    1.0705 |   99.44% |   98.95%
am-sub-longlong               |     93.66% |   47.0237 |    1.0448 |   99.41% |   92.90%
am-sum                        |     92.52% |   17.6319 |    1.0342 |   99.45% |   99.51%
am-switch                     |     88.30% |   64.2308 |    1.0879 |   98.67% |   91.49%
am-to-lower-case              |     97.57% |   11.0218 |    1.0166 |   99.74% |   97.24%
am-unalign                    |     60.00% |  113.6199 |    1.1053 |   96.92% |   96.59%
am-wanshu                     |     85.05% |   21.9387 |    1.1406 |   99.81% |   88.24%
rv-arch-test-add              |      7.30% |  171.6881 |    1.0994 |   94.34% |   89.86%
rv-arch-test-addi             |      9.44% |  186.3848 |    1.1400 |   94.40% |   89.67%
rv-arch-test-addiw            |     12.52% |  200.2932 |    1.1748 |   94.48% |   89.72%
rv-arch-test-addw             |      8.77% |  180.1667 |    1.1224 |   94.38% |   89.60%
rv-arch-test-and              |      8.20% |  176.9799 |    1.1135 |   94.36% |   89.91%
rv-arch-test-andi             |     12.48% |  199.4784 |    1.1728 |   94.48% |   89.73%
rv-arch-test-auipc            |     91.30% |  184.1416 |    1.0245 |   93.76% |   88.61%
rv-arch-test-beq              |     32.06% |  247.8406 |    1.2505 |   92.65% |   89.86%
rv-arch-test-bge              |     16.17% |  251.6939 |    1.3076 |   92.82% |   89.87%
rv-arch-test-bgeu             |     16.04% |  259.3718 |    1.3186 |   92.69% |   90.06%
rv-arch-test-blt              |     17.36% |  255.1484 |    1.3043 |   92.71% |   89.82%
rv-arch-test-bltu             |     16.99% |  252.7946 |    1.3144 |   92.86% |   90.32%
rv-arch-test-bne              |      1.27% |  256.5961 |    1.3628 |   92.95% |   89.85%
rv-arch-test-div              |      7.22% |  180.4561 |    1.1136 |   94.37% |   89.66%
rv-arch-test-divu             |      7.90% |  182.3318 |    1.1162 |   94.37% |   90.13%
rv-arch-test-divuw            |      8.01% |  184.2150 |    1.1220 |   94.39% |   89.56%
rv-arch-test-divw             |      7.49% |  181.7642 |    1.1175 |   94.38% |   89.99%
rv-arch-test-jalr             |      0.00% |  172.2356 |    1.1376 |   94.00% |   85.00%
rv-arch-test-lb-align         |      0.00% |  173.2997 |    1.0221 |   93.77% |   90.28%
rv-arch-test-lbu-align        |      0.00% |  169.0585 |    1.0215 |   93.91% |   90.54%
rv-arch-test-ld-align         |      0.00% |  173.2997 |    1.0221 |   93.77% |   90.28%
rv-arch-test-lh-align         |      0.00% |  173.2997 |    1.0221 |   93.77% |   90.28%
rv-arch-test-lhu-align        |      0.00% |  173.2997 |    1.0221 |   93.77% |   90.28%
rv-arch-test-lui              |     91.30% |  208.3439 |    1.0370 |   93.56% |   91.43%
rv-arch-test-lw-align         |      0.00% |  173.2997 |    1.0221 |   93.77% |   90.28%
rv-arch-test-lwu-align        |      0.00% |  173.2997 |    1.0221 |   93.77% |   90.28%
rv-arch-test-misalign1-jalr   |      0.00% |  189.2886 |    1.1208 |   93.79% |   50.00%
rv-arch-test-mul              |      6.02% |  172.9089 |    1.0942 |   94.32% |   89.90%
rv-arch-test-mulh             |      6.95% |  179.1402 |    1.1099 |   94.36% |   89.73%
rv-arch-test-mulhsu           |      5.91% |  179.6194 |    1.1117 |   94.37% |   89.95%
rv-arch-test-mulhu            |      7.90% |  180.8608 |    1.1119 |   94.36% |   90.03%
rv-arch-test-mulw             |      7.22% |  180.8223 |    1.1141 |   94.37% |   89.95%
rv-arch-test-or               |      7.31% |  172.5766 |    1.1019 |   94.34% |   90.03%
rv-arch-test-ori              |     10.03% |  189.2913 |    1.1475 |   94.42% |   89.79%
rv-arch-test-rem              |      6.68% |  178.0165 |    1.1076 |   94.35% |   90.01%
rv-arch-test-remu             |      7.67% |  180.2118 |    1.1108 |   94.36% |   89.70%
rv-arch-test-remuw            |      8.01% |  183.9811 |    1.1211 |   94.39% |   89.86%
rv-arch-test-remw             |      7.35% |  181.2709 |    1.1160 |   94.37% |   90.67%
rv-arch-test-sb-align         |      0.00% |  177.7142 |    1.0112 |   93.97% |   89.02%
rv-arch-test-sd-align         |      0.00% |  179.3644 |    1.0114 |   93.93% |   88.96%
rv-arch-test-sh-align         |      0.00% |  177.9190 |    1.0113 |   93.98% |   91.35%
rv-arch-test-sll              |     64.15% |  184.0432 |    1.0770 |   94.18% |   88.89%
rv-arch-test-slli             |     75.80% |  185.5825 |    1.0588 |   94.09% |   89.13%
rv-arch-test-slliw            |     91.03% |  189.8195 |    1.0257 |   93.97% |   89.42%
rv-arch-test-sllw             |     76.73% |  189.0576 |    1.0568 |   94.07% |   89.34%
rv-arch-test-slt              |      9.09% |  182.3569 |    1.1280 |   94.39% |   89.80%
rv-arch-test-slti             |     13.80% |  204.3538 |    1.1834 |   94.48% |   89.73%
rv-arch-test-sltiu            |     12.94% |  206.9987 |    1.1916 |   94.50% |   89.54%
rv-arch-test-sltu             |      8.36% |  184.4491 |    1.1333 |   94.40% |   89.86%
rv-arch-test-sra              |     68.12% |  184.7640 |    1.0711 |   94.16% |   88.71%
rv-arch-test-srai             |     78.48% |  189.6995 |    1.0539 |   94.08% |   89.18%
