PC: 0x0000000080000000, INSTR: 0x080058b7, REG x17: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x00489893, REG x17: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff088893, REG x17: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x0028b023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0x00ec90b7, REG x1: 0x0000000000ec9000
PC: 0x0000000080000098, INSTR: 0xa010809b, REG x1: 0x0000000000ec8a01
PC: 0x000000008000009c, INSTR: 0x00c09093, REG x1: 0x0000000ec8a01000
PC: 0x00000000800000a0, INSTR: 0x9cb08093, REG x1: 0x0000000ec8a009cb
PC: 0x00000000800000a4, INSTR: 0x00c09093, REG x1: 0x0000ec8a009cb000
PC: 0x00000000800000a8, INSTR: 0xa9b08093, REG x1: 0x0000ec8a009caa9b
PC: 0x00000000800000ac, INSTR: 0x00d09093, REG x1: 0x1d91401395536000
PC: 0x00000000800000b0, INSTR: 0xbb708093, REG x1: 0x1d91401395535bb7
PC: 0x00000000800000b4, INSTR: 0xff74d1b7, REG x3: 0xffffffffff74d000
PC: 0x00000000800000b8, INSTR: 0x8471819b, REG x3: 0xffffffffff74c847
PC: 0x00000000800000bc, INSTR: 0x00c19193, REG x3: 0xfffffff74c847000
PC: 0x00000000800000c0, INSTR: 0x9bd18193, REG x3: 0xfffffff74c8469bd
PC: 0x00000000800000c4, INSTR: 0x00d19193, REG x3: 0xfffee9908d37a000
PC: 0x00000000800000c8, INSTR: 0xa5118193, REG x3: 0xfffee9908d379a51
PC: 0x00000000800000cc, INSTR: 0x00e19193, REG x3: 0xba64234de6944000
PC: 0x00000000800000d0, INSTR: 0xb2918193, REG x3: 0xba64234de6943b29
PC: 0x00000000800000d4, INSTR: 0x005ed237, REG x4: 0x00000000005ed000
PC: 0x00000000800000d8, INSTR: 0xa992021b, REG x4: 0x00000000005eca99
PC: 0x00000000800000dc, INSTR: 0x00d21213, REG x4: 0x0000000bd9532000
PC: 0x00000000800000e0, INSTR: 0x88b20213, REG x4: 0x0000000bd953188b
PC: 0x00000000800000e4, INSTR: 0x00c21213, REG x4: 0x0000bd953188b000
PC: 0x00000000800000e8, INSTR: 0x19b20213, REG x4: 0x0000bd953188b19b
PC: 0x00000000800000ec, INSTR: 0x00e21213, REG x4: 0x2f654c622c66c000
PC: 0x00000000800000f0, INSTR: 0x34320213, REG x4: 0x2f654c622c66c343
PC: 0x00000000800000f4, INSTR: 0xfae692b7, REG x5: 0xfffffffffae69000
PC: 0x00000000800000f8, INSTR: 0x8f12829b, REG x5: 0xfffffffffae688f1
PC: 0x00000000800000fc, INSTR: 0x00c29293, REG x5: 0xffffffae688f1000
PC: 0x0000000080000100, INSTR: 0x8e728293, REG x5: 0xffffffae688f08e7
PC: 0x0000000080000104, INSTR: 0x00c29293, REG x5: 0xfffae688f08e7000
PC: 0x0000000080000108, INSTR: 0xeef28293, REG x5: 0xfffae688f08e6eef
PC: 0x000000008000010c, INSTR: 0x00c29293, REG x5: 0xae688f08e6eef000
