PC: 0x0000000080000000, INSTR: 0x080058b7, REG x17: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x00489893, REG x17: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff088893, REG x17: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x0028b023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0x03c490b7, REG x1: 0x0000000003c49000
PC: 0x0000000080000098, INSTR: 0xacb0809b, REG x1: 0x0000000003c48acb
PC: 0x000000008000009c, INSTR: 0x00d09093, REG x1: 0x0000007891596000
PC: 0x00000000800000a0, INSTR: 0xcf908093, REG x1: 0x0000007891595cf9
PC: 0x00000000800000a4, INSTR: 0x00c09093, REG x1: 0x0007891595cf9000
PC: 0x00000000800000a8, INSTR: 0x34308093, REG x1: 0x0007891595cf9343
PC: 0x00000000800000ac, INSTR: 0x00c09093, REG x1: 0x7891595cf9343000
PC: 0x00000000800000b0, INSTR: 0xeda08093, REG x1: 0x7891595cf9342eda
PC: 0x00000000800000b4, INSTR: 0xffe4d1b7, REG x3: 0xffffffffffe4d000
PC: 0x00000000800000b8, INSTR: 0xd2f1819b, REG x3: 0xffffffffffe4cd2f
PC: 0x00000000800000bc, INSTR: 0x00c19193, REG x3: 0xfffffffe4cd2f000
PC: 0x00000000800000c0, INSTR: 0xddf18193, REG x3: 0xfffffffe4cd2eddf
PC: 0x00000000800000c4, INSTR: 0x00c19193, REG x3: 0xffffe4cd2eddf000
PC: 0x00000000800000c8, INSTR: 0x14118193, REG x3: 0xffffe4cd2eddf141
PC: 0x00000000800000cc, INSTR: 0x01119193, REG x3: 0xc99a5dbbe2820000
PC: 0x00000000800000d0, INSTR: 0xdbb18193, REG x3: 0xc99a5dbbe281fdbb
PC: 0x00000000800000d4, INSTR: 0x8d6ed237, REG x4: 0xffffffff8d6ed000
PC: 0x00000000800000d8, INSTR: 0x8812021b, REG x4: 0xffffffff8d6ec881
PC: 0x00000000800000dc, INSTR: 0x01321213, REG x4: 0xfffc6b7644080000
PC: 0x00000000800000e0, INSTR: 0xf0b20213, REG x4: 0xfffc6b764407ff0b
PC: 0x00000000800000e4, INSTR: 0x00d21213, REG x4: 0x8d6ec880ffe16000
PC: 0x00000000800000e8, INSTR: 0xfa320213, REG x4: 0x8d6ec880ffe15fa3
PC: 0x00000000800000ec, INSTR: 0x00225213, REG x4: 0x235bb2203ff857e8
PC: 0x00000000800000f0, INSTR: 0x004f52b7, REG x5: 0x00000000004f5000
PC: 0x00000000800000f4, INSTR: 0x7992829b, REG x5: 0x00000000004f5799
PC: 0x00000000800000f8, INSTR: 0x00e29293, REG x5: 0x00000013d5e64000
PC: 0x00000000800000fc, INSTR: 0x85528293, REG x5: 0x00000013d5e63855
PC: 0x0000000080000100, INSTR: 0x00c29293, REG x5: 0x00013d5e63855000
PC: 0x0000000080000104, INSTR: 0x6ff28293, REG x5: 0x00013d5e638556ff
PC: 0x0000000080000108, INSTR: 0x00e29293, REG x5: 0x4f5798e155bfc000
PC: 0x000000008000010c, INSTR: 0xaad28293, REG x5: 0x4f5798e155bfbaad
