PC: 0x0000000080000000, INSTR: 0x080058b7, REG x17: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x00489893, REG x17: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff088893, REG x17: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x0028b023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0xffc890b7, REG x1: 0xffffffffffc89000
PC: 0x0000000080000098, INSTR: 0x83f0809b, REG x1: 0xffffffffffc8883f
PC: 0x000000008000009c, INSTR: 0x01109093, REG x1: 0xffffff91107e0000
PC: 0x00000000800000a0, INSTR: 0x03708093, REG x1: 0xffffff91107e0037
PC: 0x00000000800000a4, INSTR: 0x00c09093, REG x1: 0xfff91107e0037000
PC: 0x00000000800000a8, INSTR: 0xcdb08093, REG x1: 0xfff91107e0036cdb
PC: 0x00000000800000ac, INSTR: 0x00c09093, REG x1: 0x91107e0036cdb000
PC: 0x00000000800000b0, INSTR: 0xef308093, REG x1: 0x91107e0036cdaef3
PC: 0x00000000800000b4, INSTR: 0x0b43e1b7, REG x3: 0x000000000b43e000
PC: 0x00000000800000b8, INSTR: 0x9891819b, REG x3: 0x000000000b43d989
PC: 0x00000000800000bc, INSTR: 0x00d19193, REG x3: 0x000001687b312000
PC: 0x00000000800000c0, INSTR: 0x14f18193, REG x3: 0x000001687b31214f
PC: 0x00000000800000c4, INSTR: 0x00e19193, REG x3: 0x005a1ecc4853c000
PC: 0x00000000800000c8, INSTR: 0x69318193, REG x3: 0x005a1ecc4853c693
PC: 0x00000000800000cc, INSTR: 0x00419193, REG x3: 0x05a1ecc4853c6930
PC: 0x00000000800000d0, INSTR: 0xfc810237, REG x4: 0xfffffffffc810000
PC: 0x00000000800000d4, INSTR: 0xf492021b, REG x4: 0xfffffffffc80ff49
PC: 0x00000000800000d8, INSTR: 0x00c21213, REG x4: 0xffffffc80ff49000
PC: 0x00000000800000dc, INSTR: 0x05920213, REG x4: 0xffffffc80ff49059
PC: 0x00000000800000e0, INSTR: 0x00d21213, REG x4: 0xfff901fe920b2000
PC: 0x00000000800000e4, INSTR: 0x94f20213, REG x4: 0xfff901fe920b194f
PC: 0x00000000800000e8, INSTR: 0x00c21213, REG x4: 0x901fe920b194f000
PC: 0x00000000800000ec, INSTR: 0xb2420213, REG x4: 0x901fe920b194eb24
PC: 0x00000000800000f0, INSTR: 0x4aada2b7, REG x5: 0x000000004aada000
PC: 0x00000000800000f4, INSTR: 0x7b72829b, REG x5: 0x000000004aada7b7
PC: 0x00000000800000f8, INSTR: 0x01129293, REG x5: 0x0000955b4f6e0000
PC: 0x00000000800000fc, INSTR: 0x81128293, REG x5: 0x0000955b4f6df811
PC: 0x0000000080000100, INSTR: 0x00f29293, REG x5: 0x4aada7b6fc088000
PC: 0x0000000080000104, INSTR: 0x6bb28293, REG x5: 0x4aada7b6fc0886bb
PC: 0x0000000080000108, INSTR: 0x024b5337, REG x6: 0x00000000024b5000
PC: 0x000000008000010c, INSTR: 0x00631313, REG x6: 0x0000000092d40000
