PC: 0x0000000080000000, INSTR: 0x08005eb7, REG x29: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x004e9e93, REG x29: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff0e8e93, REG x29: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x002eb023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0x5db980b7, REG x1: 0x000000005db98000
PC: 0x0000000080000098, INSTR: 0x7270809b, REG x1: 0x000000005db98727
PC: 0x000000008000009c, INSTR: 0x00d09093, REG x1: 0x00000bb730e4e000
PC: 0x00000000800000a0, INSTR: 0x87b08093, REG x1: 0x00000bb730e4d87b
PC: 0x00000000800000a4, INSTR: 0x00d09093, REG x1: 0x0176e61c9b0f6000
PC: 0x00000000800000a8, INSTR: 0x8ef08093, REG x1: 0x0176e61c9b0f58ef
PC: 0x00000000800000ac, INSTR: 0x00609093, REG x1: 0x5db98726c3d63bc0
PC: 0x00000000800000b0, INSTR: 0x003281b7, REG x3: 0x0000000000328000
PC: 0x00000000800000b4, INSTR: 0xec31819b, REG x3: 0x0000000000327ec3
PC: 0x00000000800000b8, INSTR: 0x00c19193, REG x3: 0x0000000327ec3000
PC: 0x00000000800000bc, INSTR: 0xe8518193, REG x3: 0x0000000327ec2e85
PC: 0x00000000800000c0, INSTR: 0x00f19193, REG x3: 0x000193f617428000
PC: 0x00000000800000c4, INSTR: 0x94318193, REG x3: 0x000193f617427943
PC: 0x00000000800000c8, INSTR: 0x00d19193, REG x3: 0x327ec2e84f286000
PC: 0x00000000800000cc, INSTR: 0x9f618193, REG x3: 0x327ec2e84f2859f6
PC: 0x00000000800000d0, INSTR: 0x61f0b237, REG x4: 0x0000000061f0b000
PC: 0x00000000800000d4, INSTR: 0x00321213, REG x4: 0x000000030f858000
PC: 0x00000000800000d8, INSTR: 0x07120213, REG x4: 0x000000030f858071
PC: 0x00000000800000dc, INSTR: 0x01021213, REG x4: 0x00030f8580710000
PC: 0x00000000800000e0, INSTR: 0x38720213, REG x4: 0x00030f8580710387
PC: 0x00000000800000e4, INSTR: 0x00c21213, REG x4: 0x30f8580710387000
PC: 0x00000000800000e8, INSTR: 0x39420213, REG x4: 0x30f8580710387394
PC: 0x00000000800000ec, INSTR: 0xfee032b7, REG x5: 0xfffffffffee03000
PC: 0x00000000800000f0, INSTR: 0xba92829b, REG x5: 0xfffffffffee02ba9
PC: 0x00000000800000f4, INSTR: 0x00d29293, REG x5: 0xffffffdc05752000
PC: 0x00000000800000f8, INSTR: 0xf0928293, REG x5: 0xffffffdc05751f09
PC: 0x00000000800000fc, INSTR: 0x00d29293, REG x5: 0xfffb80aea3e12000
PC: 0x0000000080000100, INSTR: 0x5af28293, REG x5: 0xfffb80aea3e125af
PC: 0x0000000080000104, INSTR: 0x00c29293, REG x5: 0xb80aea3e125af000
PC: 0x0000000080000108, INSTR: 0x9dc28293, REG x5: 0xb80aea3e125ae9dc
PC: 0x000000008000010c, INSTR: 0xff907337, REG x6: 0xffffffffff907000
PC: 0x0000000080000110, INSTR: 0xcdd3031b, REG x6: 0xffffffffff906cdd
PC: 0x0000000080000114, INSTR: 0x00e31313, REG x6: 0xffffffe41b374000
PC: 0x0000000080000118, INSTR: 0x1b130313, REG x6: 0xffffffe41b3741b1
PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0xfffe41b3741b1000
PC: 0x0000000080000120, INSTR: 0x53b30313, REG x6: 0xfffe41b3741b153b
PC: 0x0000000080000124, INSTR: 0x00e31313, REG x6: 0x906cdd06c54ec000
PC: 0x0000000080000128, INSTR: 0x3ae30313, REG x6: 0x906cdd06c54ec3ae
