PC: 0x0000000080000000, INSTR: 0x08005537, REG x10: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x00451513, REG x10: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff050513, REG x10: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x00253023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0xff5ca0b7, REG x1: 0xffffffffff5ca000
PC: 0x0000000080000098, INSTR: 0x7d90809b, REG x1: 0xffffffffff5ca7d9
PC: 0x000000008000009c, INSTR: 0x00d09093, REG x1: 0xffffffeb94fb2000
PC: 0x00000000800000a0, INSTR: 0x76108093, REG x1: 0xffffffeb94fb2761
PC: 0x00000000800000a4, INSTR: 0x00c09093, REG x1: 0xfffeb94fb2761000
PC: 0x00000000800000a8, INSTR: 0xd6b08093, REG x1: 0xfffeb94fb2760d6b
PC: 0x00000000800000ac, INSTR: 0x00d09093, REG x1: 0xd729f64ec1ad6000
PC: 0x00000000800000b0, INSTR: 0xd2408093, REG x1: 0xd729f64ec1ad5d24
PC: 0x00000000800000b4, INSTR: 0xe68791b7, REG x3: 0xffffffffe6879000
PC: 0x00000000800000b8, INSTR: 0x6811819b, REG x3: 0xffffffffe6879681
PC: 0x00000000800000bc, INSTR: 0x00e19193, REG x3: 0xfffff9a1e5a04000
PC: 0x00000000800000c0, INSTR: 0x2c518193, REG x3: 0xfffff9a1e5a042c5
PC: 0x00000000800000c4, INSTR: 0x00e19193, REG x3: 0xfe68796810b14000
PC: 0x00000000800000c8, INSTR: 0xf9f18193, REG x3: 0xfe68796810b13f9f
PC: 0x00000000800000cc, INSTR: 0x2e597237, REG x4: 0x000000002e597000
PC: 0x00000000800000d0, INSTR: 0xa3b2021b, REG x4: 0x000000002e596a3b
PC: 0x00000000800000d4, INSTR: 0x01021213, REG x4: 0x00002e596a3b0000
PC: 0x00000000800000d8, INSTR: 0x14520213, REG x4: 0x00002e596a3b0145
PC: 0x00000000800000dc, INSTR: 0x00d21213, REG x4: 0x05cb2d476028a000
PC: 0x00000000800000e0, INSTR: 0x8a620213, REG x4: 0x05cb2d47602898a6
PC: 0x00000000800000e4, INSTR: 0xff0972b7, REG x5: 0xffffffffff097000
PC: 0x00000000800000e8, INSTR: 0x8cb2829b, REG x5: 0xffffffffff0968cb
PC: 0x00000000800000ec, INSTR: 0x00c29293, REG x5: 0xfffffff0968cb000
PC: 0x00000000800000f0, INSTR: 0xbb528293, REG x5: 0xfffffff0968cabb5
PC: 0x00000000800000f4, INSTR: 0x00f29293, REG x5: 0xfff84b4655da8000
PC: 0x00000000800000f8, INSTR: 0x07728293, REG x5: 0xfff84b4655da8077
PC: 0x00000000800000fc, INSTR: 0x0032d293, REG x5: 0x1fff0968cabb500e
PC: 0x0000000080000100, INSTR: 0x00fc3337, REG x6: 0x0000000000fc3000
PC: 0x0000000080000104, INSTR: 0x21f3031b, REG x6: 0x0000000000fc321f
PC: 0x0000000080000108, INSTR: 0x00c31313, REG x6: 0x0000000fc321f000
PC: 0x000000008000010c, INSTR: 0xd7d30313, REG x6: 0x0000000fc321ed7d
PC: 0x0000000080000110, INSTR: 0x00c31313, REG x6: 0x0000fc321ed7d000
PC: 0x0000000080000114, INSTR: 0x2b530313, REG x6: 0x0000fc321ed7d2b5
PC: 0x0000000080000118, INSTR: 0x00d31313, REG x6: 0x1f8643dafa56a000
