PC: 0x0000000080000000, INSTR: 0x08005737, REG x14: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x00471713, REG x14: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff070713, REG x14: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x00273023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0x839910b7, REG x1: 0xffffffff83991000
PC: 0x0000000080000098, INSTR: 0x7d30809b, REG x1: 0xffffffff839917d3
PC: 0x000000008000009c, INSTR: 0x00c09093, REG x1: 0xfffff839917d3000
PC: 0x00000000800000a0, INSTR: 0x19f08093, REG x1: 0xfffff839917d319f
PC: 0x00000000800000a4, INSTR: 0x00e09093, REG x1: 0xfe0e645f4c67c000
PC: 0x00000000800000a8, INSTR: 0xee708093, REG x1: 0xfe0e645f4c67bee7
PC: 0x00000000800000ac, INSTR: 0x00509093, REG x1: 0xc1cc8be98cf7dce0
PC: 0x00000000800000b0, INSTR: 0x122811b7, REG x3: 0x0000000012281000
PC: 0x00000000800000b4, INSTR: 0x00519193, REG x3: 0x0000000245020000
PC: 0x00000000800000b8, INSTR: 0x65d18193, REG x3: 0x000000024502065d
PC: 0x00000000800000bc, INSTR: 0x00e19193, REG x3: 0x0000914081974000
PC: 0x00000000800000c0, INSTR: 0x84d18193, REG x3: 0x000091408197384d
PC: 0x00000000800000c4, INSTR: 0x00f19193, REG x3: 0x48a040cb9c268000
PC: 0x00000000800000c8, INSTR: 0x23c18193, REG x3: 0x48a040cb9c26823c
PC: 0x00000000800000cc, INSTR: 0xfd9f6237, REG x4: 0xfffffffffd9f6000
PC: 0x00000000800000d0, INSTR: 0x4272021b, REG x4: 0xfffffffffd9f6427
PC: 0x00000000800000d4, INSTR: 0x00c21213, REG x4: 0xffffffd9f6427000
PC: 0x00000000800000d8, INSTR: 0x21120213, REG x4: 0xffffffd9f6427211
PC: 0x00000000800000dc, INSTR: 0x00c21213, REG x4: 0xfffd9f6427211000
PC: 0x00000000800000e0, INSTR: 0x0ed20213, REG x4: 0xfffd9f64272110ed
PC: 0x00000000800000e4, INSTR: 0x00d21213, REG x4: 0xb3ec84e4221da000
PC: 0x00000000800000e8, INSTR: 0xdb220213, REG x4: 0xb3ec84e4221d9db2
PC: 0x00000000800000ec, INSTR: 0xb94442b7, REG x5: 0xffffffffb9444000
PC: 0x00000000800000f0, INSTR: 0x5252829b, REG x5: 0xffffffffb9444525
PC: 0x00000000800000f4, INSTR: 0x00c29293, REG x5: 0xfffffb9444525000
PC: 0x00000000800000f8, INSTR: 0x49b28293, REG x5: 0xfffffb944452549b
PC: 0x00000000800000fc, INSTR: 0x01029293, REG x5: 0xfb944452549b0000
PC: 0x0000000080000100, INSTR: 0x68428293, REG x5: 0xfb944452549b0684
PC: 0x0000000080000104, INSTR: 0x0118a337, REG x6: 0x000000000118a000
PC: 0x0000000080000108, INSTR: 0x3cf3031b, REG x6: 0x000000000118a3cf
PC: 0x000000008000010c, INSTR: 0x00c31313, REG x6: 0x000000118a3cf000
PC: 0x0000000080000110, INSTR: 0xa0930313, REG x6: 0x000000118a3cea09
PC: 0x0000000080000114, INSTR: 0x00e31313, REG x6: 0x0004628f3a824000
PC: 0x0000000080000118, INSTR: 0x71130313, REG x6: 0x0004628f3a824711
PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0x4628f3a824711000
PC: 0x0000000080000120, INSTR: 0x5a330313, REG x6: 0x4628f3a8247115a3
PC: 0x0000000080000124, INSTR: 0x0105e3b7, REG x7: 0x000000000105e000
PC: 0x0000000080000128, INSTR: 0x49f3839b, REG x7: 0x000000000105e49f
PC: 0x000000008000012c, INSTR: 0x00d39393, REG x7: 0x00000020bc93e000
PC: 0x0000000080000130, INSTR: 0x6dd38393, REG x7: 0x00000020bc93e6dd
PC: 0x0000000080000134, INSTR: 0x00c39393, REG x7: 0x00020bc93e6dd000
PC: 0x0000000080000138, INSTR: 0xb9d38393, REG x7: 0x00020bc93e6dcb9d
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0x20bc93e6dcb9d000
PC: 0x0000000080000140, INSTR: 0x62538393, REG x7: 0x20bc93e6dcb9d625
PC: 0x0000000080000144, INSTR: 0x65609437, REG x8: 0x0000000065609000
PC: 0x0000000080000148, INSTR: 0x00141413, REG x8: 0x00000000cac12000
PC: 0x000000008000014c, INSTR: 0xc4740413, REG x8: 0x00000000cac11c47
PC: 0x0000000080000150, INSTR: 0x00e41413, REG x8: 0x000032b04711c000
PC: 0x0000000080000154, INSTR: 0x96540413, REG x8: 0x000032b04711b965
PC: 0x0000000080000158, INSTR: 0x00d41413, REG x8: 0x065608e2372ca000
PC: 0x000000008000015c, INSTR: 0xd5440413, REG x8: 0x065608e2372c9d54
PC: 0x0000000080000160, INSTR: 0xa09374b7, REG x9: 0xffffffffa0937000
PC: 0x0000000080000164, INSTR: 0x00249493, REG x9: 0xfffffffe824dc000
PC: 0x0000000080000168, INSTR: 0x13748493, REG x9: 0xfffffffe824dc137
PC: 0x000000008000016c, INSTR: 0x00e49493, REG x9: 0xffffa093704dc000
PC: 0x0000000080000170, INSTR: 0xffb48493, REG x9: 0xffffa093704dbffb
PC: 0x0000000080000174, INSTR: 0x01049493, REG x9: 0xa093704dbffb0000
PC: 0x0000000080000178, INSTR: 0xec748493, REG x9: 0xa093704dbffafec7
PC: 0x000000008000017c, INSTR: 0xffe4d537, REG x10: 0xffffffffffe4d000
PC: 0x0000000080000180, INSTR: 0xcb15051b, REG x10: 0xffffffffffe4ccb1
PC: 0x0000000080000184, INSTR: 0x00f51513, REG x10: 0xfffffff266588000
PC: 0x0000000080000188, INSTR: 0xf5350513, REG x10: 0xfffffff266587f53
PC: 0x000000008000018c, INSTR: 0x00f51513, REG x10: 0xfff9332c3fa98000
PC: 0x0000000080000190, INSTR: 0x02550513, REG x10: 0xfff9332c3fa98025
PC: 0x0000000080000194, INSTR: 0x00c51513, REG x10: 0x9332c3fa98025000
PC: 0x0000000080000198, INSTR: 0xfca50513, REG x10: 0x9332c3fa98024fca
PC: 0x000000008000019c, INSTR: 0xc04535b7, REG x11: 0xffffffffc0453000
PC: 0x00000000800001a0, INSTR: 0x00259593, REG x11: 0xffffffff0114c000
PC: 0x00000000800001a4, INSTR: 0x71758593, REG x11: 0xffffffff0114c717
PC: 0x00000000800001a8, INSTR: 0x00c59593, REG x11: 0xfffff0114c717000
PC: 0x00000000800001ac, INSTR: 0x97d58593, REG x11: 0xfffff0114c71697d
PC: 0x00000000800001b0, INSTR: 0x00d59593, REG x11: 0xfe02298e2d2fa000
PC: 0x00000000800001b4, INSTR: 0xa3758593, REG x11: 0xfe02298e2d2f9a37
PC: 0x00000000800001b8, INSTR: 0xfe3ea637, REG x12: 0xfffffffffe3ea000
PC: 0x00000000800001bc, INSTR: 0x9e36061b, REG x12: 0xfffffffffe3e99e3
PC: 0x00000000800001c0, INSTR: 0x00c61613, REG x12: 0xffffffe3e99e3000
PC: 0x00000000800001c4, INSTR: 0xd3960613, REG x12: 0xffffffe3e99e2d39
PC: 0x00000000800001c8, INSTR: 0x00d61613, REG x12: 0xfffc7d33c5a72000
PC: 0x00000000800001cc, INSTR: 0xa1160613, REG x12: 0xfffc7d33c5a71a11
PC: 0x00000000800001d0, INSTR: 0x00d61613, REG x12: 0x8fa678b4e3422000
PC: 0x00000000800001d4, INSTR: 0x4bb60613, REG x12: 0x8fa678b4e34224bb
PC: 0x00000000800001d8, INSTR: 0xff6b36b7, REG x13: 0xffffffffff6b3000
PC: 0x00000000800001dc, INSTR: 0x6a56869b, REG x13: 0xffffffffff6b36a5
PC: 0x00000000800001e0, INSTR: 0x00c69693, REG x13: 0xfffffff6b36a5000
PC: 0x00000000800001e4, INSTR: 0x13168693, REG x13: 0xfffffff6b36a5131
PC: 0x00000000800001e8, INSTR: 0x00c69693, REG x13: 0xffff6b36a5131000
PC: 0x00000000800001ec, INSTR: 0xff168693, REG x13: 0xffff6b36a5130ff1
PC: 0x00000000800001f0, INSTR: 0x00f69693, REG x13: 0xb59b528987f88000
