PC: 0x0000000080000000, INSTR: 0x08005737, REG x14: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x00471713, REG x14: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff070713, REG x14: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x00273023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0x0194f0b7, REG x1: 0x000000000194f000
PC: 0x0000000080000098, INSTR: 0xdd10809b, REG x1: 0x000000000194edd1
PC: 0x000000008000009c, INSTR: 0x00d09093, REG x1: 0x000000329dba2000
PC: 0x00000000800000a0, INSTR: 0xf2f08093, REG x1: 0x000000329dba1f2f
PC: 0x00000000800000a4, INSTR: 0x00d09093, REG x1: 0x000653b743e5e000
PC: 0x00000000800000a8, INSTR: 0x04f08093, REG x1: 0x000653b743e5e04f
PC: 0x00000000800000ac, INSTR: 0x00c09093, REG x1: 0x653b743e5e04f000
PC: 0x00000000800000b0, INSTR: 0x80508093, REG x1: 0x653b743e5e04e805
PC: 0x00000000800000b4, INSTR: 0x110d31b7, REG x3: 0x00000000110d3000
PC: 0x00000000800000b8, INSTR: 0x00319193, REG x3: 0x0000000088698000
PC: 0x00000000800000bc, INSTR: 0xaf518193, REG x3: 0x0000000088697af5
PC: 0x00000000800000c0, INSTR: 0x00e19193, REG x3: 0x0000221a5ebd4000
PC: 0x00000000800000c4, INSTR: 0x75f18193, REG x3: 0x0000221a5ebd475f
PC: 0x00000000800000c8, INSTR: 0x00d19193, REG x3: 0x04434bd7a8ebe000
PC: 0x00000000800000cc, INSTR: 0x65618193, REG x3: 0x04434bd7a8ebe656
PC: 0x00000000800000d0, INSTR: 0xffcb8237, REG x4: 0xffffffffffcb8000
PC: 0x00000000800000d4, INSTR: 0xa232021b, REG x4: 0xffffffffffcb7a23
PC: 0x00000000800000d8, INSTR: 0x00e21213, REG x4: 0xfffffff2de88c000
PC: 0x00000000800000dc, INSTR: 0x6bd20213, REG x4: 0xfffffff2de88c6bd
PC: 0x00000000800000e0, INSTR: 0x00d21213, REG x4: 0xfffe5bd118d7a000
PC: 0x00000000800000e4, INSTR: 0x17b20213, REG x4: 0xfffe5bd118d7a17b
PC: 0x00000000800000e8, INSTR: 0x00d21213, REG x4: 0xcb7a231af42f6000
PC: 0x00000000800000ec, INSTR: 0x57c20213, REG x4: 0xcb7a231af42f657c
PC: 0x00000000800000f0, INSTR: 0xffaa32b7, REG x5: 0xffffffffffaa3000
PC: 0x00000000800000f4, INSTR: 0xac72829b, REG x5: 0xffffffffffaa2ac7
PC: 0x00000000800000f8, INSTR: 0x00c29293, REG x5: 0xfffffffaa2ac7000
PC: 0x00000000800000fc, INSTR: 0x62b28293, REG x5: 0xfffffffaa2ac762b
PC: 0x0000000080000100, INSTR: 0x00c29293, REG x5: 0xffffaa2ac762b000
PC: 0x0000000080000104, INSTR: 0x41328293, REG x5: 0xffffaa2ac762b413
PC: 0x0000000080000108, INSTR: 0x00d29293, REG x5: 0xf54558ec56826000
PC: 0x000000008000010c, INSTR: 0xd8628293, REG x5: 0xf54558ec56825d86
PC: 0x0000000080000110, INSTR: 0xcc42f337, REG x6: 0xffffffffcc42f000
PC: 0x0000000080000114, INSTR: 0xf6f3031b, REG x6: 0xffffffffcc42ef6f
PC: 0x0000000080000118, INSTR: 0x00f31313, REG x6: 0xffffe62177b78000
PC: 0x000000008000011c, INSTR: 0x93930313, REG x6: 0xffffe62177b77939
PC: 0x0000000080000120, INSTR: 0x01031313, REG x6: 0xe62177b779390000
PC: 0x0000000080000124, INSTR: 0x06d30313, REG x6: 0xe62177b77939006d
PC: 0x0000000080000128, INSTR: 0x00135313, REG x6: 0x7310bbdbbc9c8036
PC: 0x000000008000012c, INSTR: 0x031203b7, REG x7: 0x0000000003120000
PC: 0x0000000080000130, INSTR: 0x7ed3839b, REG x7: 0x00000000031207ed
PC: 0x0000000080000134, INSTR: 0x00d39393, REG x7: 0x0000006240fda000
PC: 0x0000000080000138, INSTR: 0x42738393, REG x7: 0x0000006240fda427
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0x0006240fda427000
PC: 0x0000000080000140, INSTR: 0x31338393, REG x7: 0x0006240fda427313
PC: 0x0000000080000144, INSTR: 0x00c39393, REG x7: 0x6240fda427313000
PC: 0x0000000080000148, INSTR: 0xc3c38393, REG x7: 0x6240fda427312c3c
PC: 0x000000008000014c, INSTR: 0x38871437, REG x8: 0x0000000038871000
PC: 0x0000000080000150, INSTR: 0x00641413, REG x8: 0x0000000e21c40000
PC: 0x0000000080000154, INSTR: 0x33540413, REG x8: 0x0000000e21c40335
PC: 0x0000000080000158, INSTR: 0x00d41413, REG x8: 0x0001c4388066a000
PC: 0x000000008000015c, INSTR: 0x1bb40413, REG x8: 0x0001c4388066a1bb
PC: 0x0000000080000160, INSTR: 0x00d41413, REG x8: 0x3887100cd4376000
PC: 0x0000000080000164, INSTR: 0x7db40413, REG x8: 0x3887100cd43767db
PC: 0x0000000080000168, INSTR: 0xff8374b7, REG x9: 0xffffffffff837000
PC: 0x000000008000016c, INSTR: 0x0274849b, REG x9: 0xffffffffff837027
PC: 0x0000000080000170, INSTR: 0x00c49493, REG x9: 0xfffffff837027000
PC: 0x0000000080000174, INSTR: 0xe0948493, REG x9: 0xfffffff837026e09
PC: 0x0000000080000178, INSTR: 0x00e49493, REG x9: 0xfffe0dc09b824000
PC: 0x000000008000017c, INSTR: 0xe7d48493, REG x9: 0xfffe0dc09b823e7d
PC: 0x0000000080000180, INSTR: 0x00e49493, REG x9: 0x837026e08f9f4000
PC: 0x0000000080000184, INSTR: 0x8f348493, REG x9: 0x837026e08f9f38f3
PC: 0x0000000080000188, INSTR: 0xffe5a537, REG x10: 0xffffffffffe5a000
PC: 0x000000008000018c, INSTR: 0xe9d5051b, REG x10: 0xffffffffffe59e9d
PC: 0x0000000080000190, INSTR: 0x00c51513, REG x10: 0xfffffffe59e9d000
PC: 0x0000000080000194, INSTR: 0x2f750513, REG x10: 0xfffffffe59e9d2f7
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0xffffe59e9d2f7000
PC: 0x000000008000019c, INSTR: 0x76f50513, REG x10: 0xffffe59e9d2f776f
PC: 0x00000000800001a0, INSTR: 0x01151513, REG x10: 0xcb3d3a5eeede0000
PC: 0x00000000800001a4, INSTR: 0xf7450513, REG x10: 0xcb3d3a5eeeddff74
PC: 0x00000000800001a8, INSTR: 0x030cf5b7, REG x11: 0x00000000030cf000
PC: 0x00000000800001ac, INSTR: 0x8835859b, REG x11: 0x00000000030ce883
PC: 0x00000000800001b0, INSTR: 0x00c59593, REG x11: 0x00000030ce883000
PC: 0x00000000800001b4, INSTR: 0x6a158593, REG x11: 0x00000030ce8836a1
PC: 0x00000000800001b8, INSTR: 0x00c59593, REG x11: 0x00030ce8836a1000
PC: 0x00000000800001bc, INSTR: 0xcef58593, REG x11: 0x00030ce8836a0cef
PC: 0x00000000800001c0, INSTR: 0x00d59593, REG x11: 0x619d106d419de000
PC: 0x00000000800001c4, INSTR: 0x05258593, REG x11: 0x619d106d419de052
PC: 0x00000000800001c8, INSTR: 0x00dcd637, REG x12: 0x0000000000dcd000
PC: 0x00000000800001cc, INSTR: 0xc056061b, REG x12: 0x0000000000dccc05
PC: 0x00000000800001d0, INSTR: 0x00c61613, REG x12: 0x0000000dccc05000
PC: 0x00000000800001d4, INSTR: 0x1e160613, REG x12: 0x0000000dccc051e1
PC: 0x00000000800001d8, INSTR: 0x00e61613, REG x12: 0x0003733014784000
PC: 0x00000000800001dc, INSTR: 0xa0560613, REG x12: 0x0003733014783a05
PC: 0x00000000800001e0, INSTR: 0x00d61613, REG x12: 0x6e66028f0740a000
PC: 0x00000000800001e4, INSTR: 0x4c360613, REG x12: 0x6e66028f0740a4c3
PC: 0x00000000800001e8, INSTR: 0xfe89a6b7, REG x13: 0xfffffffffe89a000
PC: 0x00000000800001ec, INSTR: 0xd5f6869b, REG x13: 0xfffffffffe899d5f
PC: 0x00000000800001f0, INSTR: 0x00c69693, REG x13: 0xffffffe899d5f000
