PC: 0x0000000080000000, INSTR: 0x08005737, REG x14: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x00471713, REG x14: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff070713, REG x14: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x00273023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0x00d5c0b7, REG x1: 0x0000000000d5c000
PC: 0x0000000080000098, INSTR: 0x0530809b, REG x1: 0x0000000000d5c053
PC: 0x000000008000009c, INSTR: 0x00d09093, REG x1: 0x0000001ab80a6000
PC: 0x00000000800000a0, INSTR: 0x4ed08093, REG x1: 0x0000001ab80a64ed
PC: 0x00000000800000a4, INSTR: 0x00e09093, REG x1: 0x0006ae02993b4000
PC: 0x00000000800000a8, INSTR: 0x69508093, REG x1: 0x0006ae02993b4695
PC: 0x00000000800000ac, INSTR: 0x00c09093, REG x1: 0x6ae02993b4695000
PC: 0x00000000800000b0, INSTR: 0x69b08093, REG x1: 0x6ae02993b469569b
PC: 0x00000000800000b4, INSTR: 0x1bc8a1b7, REG x3: 0x000000001bc8a000
PC: 0x00000000800000b8, INSTR: 0x67f1819b, REG x3: 0x000000001bc8a67f
PC: 0x00000000800000bc, INSTR: 0x01319193, REG x3: 0x0000de4533f80000
PC: 0x00000000800000c0, INSTR: 0x8c118193, REG x3: 0x0000de4533f7f8c1
PC: 0x00000000800000c4, INSTR: 0x00f19193, REG x3: 0x6f2299fbfc608000
PC: 0x00000000800000c8, INSTR: 0xfdb18193, REG x3: 0x6f2299fbfc607fdb
PC: 0x00000000800000cc, INSTR: 0xff275237, REG x4: 0xffffffffff275000
PC: 0x00000000800000d0, INSTR: 0xe332021b, REG x4: 0xffffffffff274e33
PC: 0x00000000800000d4, INSTR: 0x00c21213, REG x4: 0xfffffff274e33000
PC: 0x00000000800000d8, INSTR: 0x28720213, REG x4: 0xfffffff274e33287
PC: 0x00000000800000dc, INSTR: 0x00d21213, REG x4: 0xfffe4e9c6650e000
PC: 0x00000000800000e0, INSTR: 0x4c120213, REG x4: 0xfffe4e9c6650e4c1
PC: 0x00000000800000e4, INSTR: 0x00e21213, REG x4: 0x93a7199439304000
PC: 0x00000000800000e8, INSTR: 0xb6520213, REG x4: 0x93a7199439303b65
PC: 0x00000000800000ec, INSTR: 0xfee312b7, REG x5: 0xfffffffffee31000
PC: 0x00000000800000f0, INSTR: 0xeb72829b, REG x5: 0xfffffffffee30eb7
PC: 0x00000000800000f4, INSTR: 0x00c29293, REG x5: 0xffffffee30eb7000
PC: 0x00000000800000f8, INSTR: 0x1eb28293, REG x5: 0xffffffee30eb71eb
PC: 0x00000000800000fc, INSTR: 0x00c29293, REG x5: 0xfffee30eb71eb000
PC: 0x0000000080000100, INSTR: 0xfdd28293, REG x5: 0xfffee30eb71eafdd
PC: 0x0000000080000104, INSTR: 0x00d29293, REG x5: 0xdc61d6e3d5fba000
PC: 0x0000000080000108, INSTR: 0x50a28293, REG x5: 0xdc61d6e3d5fba50a
PC: 0x000000008000010c, INSTR: 0x00580337, REG x6: 0x0000000000580000
PC: 0x0000000080000110, INSTR: 0x2a33031b, REG x6: 0x00000000005802a3
PC: 0x0000000080000114, INSTR: 0x00c31313, REG x6: 0x00000005802a3000
PC: 0x0000000080000118, INSTR: 0xbb930313, REG x6: 0x00000005802a2bb9
PC: 0x000000008000011c, INSTR: 0x00d31313, REG x6: 0x0000b00545772000
PC: 0x0000000080000120, INSTR: 0xdf130313, REG x6: 0x0000b00545771df1
PC: 0x0000000080000124, INSTR: 0x00c31313, REG x6: 0x0b00545771df1000
PC: 0x0000000080000128, INSTR: 0xb5c30313, REG x6: 0x0b00545771df0b5c
PC: 0x000000008000012c, INSTR: 0xfe45e3b7, REG x7: 0xfffffffffe45e000
PC: 0x0000000080000130, INSTR: 0x7833839b, REG x7: 0xfffffffffe45e783
PC: 0x0000000080000134, INSTR: 0x00d39393, REG x7: 0xffffffc8bcf06000
PC: 0x0000000080000138, INSTR: 0x63b38393, REG x7: 0xffffffc8bcf0663b
PC: 0x000000008000013c, INSTR: 0x00c39393, REG x7: 0xfffc8bcf0663b000
PC: 0x0000000080000140, INSTR: 0x0e938393, REG x7: 0xfffc8bcf0663b0e9
PC: 0x0000000080000144, INSTR: 0x00d39393, REG x7: 0x9179e0cc761d2000
PC: 0x0000000080000148, INSTR: 0xe4d38393, REG x7: 0x9179e0cc761d1e4d
PC: 0x000000008000014c, INSTR: 0xebb65437, REG x8: 0xffffffffebb65000
PC: 0x0000000080000150, INSTR: 0x9a94041b, REG x8: 0xffffffffebb649a9
PC: 0x0000000080000154, INSTR: 0x01141413, REG x8: 0xffffd76c93520000
PC: 0x0000000080000158, INSTR: 0xaef40413, REG x8: 0xffffd76c9351faef
PC: 0x000000008000015c, INSTR: 0x00c41413, REG x8: 0xfd76c9351faef000
PC: 0x0000000080000160, INSTR: 0xf2e40413, REG x8: 0xfd76c9351faeef2e
PC: 0x0000000080000164, INSTR: 0xff2f14b7, REG x9: 0xffffffffff2f1000
PC: 0x0000000080000168, INSTR: 0x58b4849b, REG x9: 0xffffffffff2f158b
PC: 0x000000008000016c, INSTR: 0x00e49493, REG x9: 0xffffffcbc562c000
PC: 0x0000000080000170, INSTR: 0x16748493, REG x9: 0xffffffcbc562c167
PC: 0x0000000080000174, INSTR: 0x00d49493, REG x9: 0xfff978ac582ce000
PC: 0x0000000080000178, INSTR: 0x0c548493, REG x9: 0xfff978ac582ce0c5
PC: 0x000000008000017c, INSTR: 0x00c49493, REG x9: 0x978ac582ce0c5000
PC: 0x0000000080000180, INSTR: 0xa0448493, REG x9: 0x978ac582ce0c4a04
PC: 0x0000000080000184, INSTR: 0xae98f537, REG x10: 0xffffffffae98f000
PC: 0x0000000080000188, INSTR: 0xe5b5051b, REG x10: 0xffffffffae98ee5b
PC: 0x000000008000018c, INSTR: 0x00c51513, REG x10: 0xfffffae98ee5b000
PC: 0x0000000080000190, INSTR: 0xedd50513, REG x10: 0xfffffae98ee5aedd
PC: 0x0000000080000194, INSTR: 0x01351513, REG x10: 0xd74c772d76e80000
PC: 0x0000000080000198, INSTR: 0xb6d50513, REG x10: 0xd74c772d76e7fb6d
PC: 0x000000008000019c, INSTR: 0xffd6b5b7, REG x11: 0xffffffffffd6b000
PC: 0x00000000800001a0, INSTR: 0x07d5859b, REG x11: 0xffffffffffd6b07d
PC: 0x00000000800001a4, INSTR: 0x01b59593, REG x11: 0xfffeb583e8000000
PC: 0x00000000800001a8, INSTR: 0x73358593, REG x11: 0xfffeb583e8000733
PC: 0x00000000800001ac, INSTR: 0x00d59593, REG x11: 0xd6b07d0000e66000
PC: 0x00000000800001b0, INSTR: 0x80058593, REG x11: 0xd6b07d0000e65800
PC: 0x00000000800001b4, INSTR: 0xac558593, REG x11: 0xd6b07d0000e652c5
PC: 0x00000000800001b8, INSTR: 0x00e5b637, REG x12: 0x0000000000e5b000
PC: 0x00000000800001bc, INSTR: 0x4296061b, REG x12: 0x0000000000e5b429
PC: 0x00000000800001c0, INSTR: 0x00c61613, REG x12: 0x0000000e5b429000
PC: 0x00000000800001c4, INSTR: 0xc4f60613, REG x12: 0x0000000e5b428c4f
PC: 0x00000000800001c8, INSTR: 0x00d61613, REG x12: 0x0001cb685189e000
PC: 0x00000000800001cc, INSTR: 0xfff60613, REG x12: 0x0001cb685189dfff
PC: 0x00000000800001d0, INSTR: 0x00e61613, REG x12: 0x72da146277ffc000
PC: 0x00000000800001d4, INSTR: 0x72460613, REG x12: 0x72da146277ffc724
PC: 0x00000000800001d8, INSTR: 0x21b9b6b7, REG x13: 0x0000000021b9b000
PC: 0x00000000800001dc, INSTR: 0xd296869b, REG x13: 0x0000000021b9ad29
PC: 0x00000000800001e0, INSTR: 0x00e69693, REG x13: 0x0000086e6b4a4000
PC: 0x00000000800001e4, INSTR: 0x0f968693, REG x13: 0x0000086e6b4a40f9
PC: 0x00000000800001e8, INSTR: 0x01269693, REG x13: 0x21b9ad2903e40000
PC: 0x00000000800001ec, INSTR: 0x4dd68693, REG x13: 0x21b9ad2903e404dd
