PC: 0x0000000080000000, INSTR: 0x08005837, REG x16: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x00481813, REG x16: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff080813, REG x16: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x00283023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0xfecec0b7, REG x1: 0xfffffffffecec000
PC: 0x0000000080000098, INSTR: 0xa330809b, REG x1: 0xfffffffffeceba33
PC: 0x000000008000009c, INSTR: 0x00c09093, REG x1: 0xffffffeceba33000
PC: 0x00000000800000a0, INSTR: 0x5f508093, REG x1: 0xffffffeceba335f5
PC: 0x00000000800000a4, INSTR: 0x00e09093, REG x1: 0xfffb3ae8cd7d4000
PC: 0x00000000800000a8, INSTR: 0xccd08093, REG x1: 0xfffb3ae8cd7d3ccd
PC: 0x00000000800000ac, INSTR: 0x00c09093, REG x1: 0xb3ae8cd7d3ccd000
PC: 0x00000000800000b0, INSTR: 0xb7508093, REG x1: 0xb3ae8cd7d3cccb75
PC: 0x00000000800000b4, INSTR: 0x004f81b7, REG x3: 0x00000000004f8000
PC: 0x00000000800000b8, INSTR: 0x4ff1819b, REG x3: 0x00000000004f84ff
PC: 0x00000000800000bc, INSTR: 0x00c19193, REG x3: 0x00000004f84ff000
PC: 0x00000000800000c0, INSTR: 0x2f118193, REG x3: 0x00000004f84ff2f1
PC: 0x00000000800000c4, INSTR: 0x00c19193, REG x3: 0x00004f84ff2f1000
PC: 0x00000000800000c8, INSTR: 0x2bf18193, REG x3: 0x00004f84ff2f12bf
PC: 0x00000000800000cc, INSTR: 0x01019193, REG x3: 0x4f84ff2f12bf0000
PC: 0x00000000800000d0, INSTR: 0x9b318193, REG x3: 0x4f84ff2f12bef9b3
PC: 0x00000000800000d4, INSTR: 0x0304b237, REG x4: 0x000000000304b000
PC: 0x00000000800000d8, INSTR: 0x79b2021b, REG x4: 0x000000000304b79b
PC: 0x00000000800000dc, INSTR: 0x00c21213, REG x4: 0x000000304b79b000
PC: 0x00000000800000e0, INSTR: 0x3c720213, REG x4: 0x000000304b79b3c7
PC: 0x00000000800000e4, INSTR: 0x00d21213, REG x4: 0x0006096f3678e000
PC: 0x00000000800000e8, INSTR: 0xc5120213, REG x4: 0x0006096f3678dc51
PC: 0x00000000800000ec, INSTR: 0x00c21213, REG x4: 0x6096f3678dc51000
PC: 0x00000000800000f0, INSTR: 0x6a120213, REG x4: 0x6096f3678dc516a1
PC: 0x00000000800000f4, INSTR: 0x0d58b2b7, REG x5: 0x000000000d58b000
PC: 0x00000000800000f8, INSTR: 0x6fd2829b, REG x5: 0x000000000d58b6fd
PC: 0x00000000800000fc, INSTR: 0x01129293, REG x5: 0x00001ab16dfa0000
PC: 0x0000000080000100, INSTR: 0x52928293, REG x5: 0x00001ab16dfa0529
PC: 0x0000000080000104, INSTR: 0x01129293, REG x5: 0x3562dbf40a520000
PC: 0x0000000080000108, INSTR: 0xcf228293, REG x5: 0x3562dbf40a51fcf2
PC: 0x000000008000010c, INSTR: 0x93818337, REG x6: 0xffffffff93818000
PC: 0x0000000080000110, INSTR: 0x0dd3031b, REG x6: 0xffffffff938180dd
PC: 0x0000000080000114, INSTR: 0x00d31313, REG x6: 0xfffff270301ba000
PC: 0x0000000080000118, INSTR: 0xa2d30313, REG x6: 0xfffff270301b9a2d
PC: 0x000000008000011c, INSTR: 0x00c31313, REG x6: 0xff270301b9a2d000
PC: 0x0000000080000120, INSTR: 0x21f30313, REG x6: 0xff270301b9a2d21f
PC: 0x0000000080000124, INSTR: 0x00235313, REG x6: 0x3fc9c0c06e68b487
PC: 0x0000000080000128, INSTR: 0x019083b7, REG x7: 0x0000000001908000
PC: 0x000000008000012c, INSTR: 0x4d73839b, REG x7: 0x00000000019084d7
PC: 0x0000000080000130, INSTR: 0x00c39393, REG x7: 0x00000019084d7000
PC: 0x0000000080000134, INSTR: 0x1a338393, REG x7: 0x00000019084d71a3
PC: 0x0000000080000138, INSTR: 0x00d39393, REG x7: 0x00032109ae346000
PC: 0x000000008000013c, INSTR: 0xd0d38393, REG x7: 0x00032109ae345d0d
PC: 0x0000000080000140, INSTR: 0x00d39393, REG x7: 0x642135c68ba1a000
PC: 0x0000000080000144, INSTR: 0x50a38393, REG x7: 0x642135c68ba1a50a
PC: 0x0000000080000148, INSTR: 0x00526437, REG x8: 0x0000000000526000
PC: 0x000000008000014c, INSTR: 0xccb4041b, REG x8: 0x0000000000525ccb
PC: 0x0000000080000150, INSTR: 0x00d41413, REG x8: 0x0000000a4b996000
PC: 0x0000000080000154, INSTR: 0x33540413, REG x8: 0x0000000a4b996335
PC: 0x0000000080000158, INSTR: 0x00c41413, REG x8: 0x0000a4b996335000
PC: 0x000000008000015c, INSTR: 0x20f40413, REG x8: 0x0000a4b99633520f
PC: 0x0000000080000160, INSTR: 0x00c41413, REG x8: 0x0a4b99633520f000
PC: 0x0000000080000164, INSTR: 0x97140413, REG x8: 0x0a4b99633520e971
PC: 0x0000000080000168, INSTR: 0xf8d014b7, REG x9: 0xfffffffff8d01000
PC: 0x000000008000016c, INSTR: 0xf654849b, REG x9: 0xfffffffff8d00f65
PC: 0x0000000080000170, INSTR: 0x00c49493, REG x9: 0xffffff8d00f65000
PC: 0x0000000080000174, INSTR: 0x20948493, REG x9: 0xffffff8d00f65209
PC: 0x0000000080000178, INSTR: 0x00c49493, REG x9: 0xfff8d00f65209000
PC: 0x000000008000017c, INSTR: 0x5a948493, REG x9: 0xfff8d00f652095a9
PC: 0x0000000080000180, INSTR: 0x00c49493, REG x9: 0x8d00f652095a9000
PC: 0x0000000080000184, INSTR: 0xc7248493, REG x9: 0x8d00f652095a8c72
PC: 0x0000000080000188, INSTR: 0xffa4e537, REG x10: 0xffffffffffa4e000
PC: 0x000000008000018c, INSTR: 0xef15051b, REG x10: 0xffffffffffa4def1
PC: 0x0000000080000190, INSTR: 0x00d51513, REG x10: 0xfffffff49bde2000
PC: 0x0000000080000194, INSTR: 0x6a950513, REG x10: 0xfffffff49bde26a9
PC: 0x0000000080000198, INSTR: 0x00c51513, REG x10: 0xffff49bde26a9000
PC: 0x000000008000019c, INSTR: 0x78550513, REG x10: 0xffff49bde26a9785
PC: 0x00000000800001a0, INSTR: 0x00d51513, REG x10: 0xe937bc4d52f0a000
PC: 0x00000000800001a4, INSTR: 0xe0c50513, REG x10: 0xe937bc4d52f09e0c
PC: 0x00000000800001a8, INSTR: 0xffc735b7, REG x11: 0xffffffffffc73000
PC: 0x00000000800001ac, INSTR: 0x2575859b, REG x11: 0xffffffffffc73257
PC: 0x00000000800001b0, INSTR: 0x00f59593, REG x11: 0xffffffe3992b8000
PC: 0x00000000800001b4, INSTR: 0xc3158593, REG x11: 0xffffffe3992b7c31
PC: 0x00000000800001b8, INSTR: 0x00c59593, REG x11: 0xfffe3992b7c31000
PC: 0x00000000800001bc, INSTR: 0x5d358593, REG x11: 0xfffe3992b7c315d3
PC: 0x00000000800001c0, INSTR: 0x00e59593, REG x11: 0x8e64adf0c574c000
PC: 0x00000000800001c4, INSTR: 0xa9f58593, REG x11: 0x8e64adf0c574ba9f
PC: 0x00000000800001c8, INSTR: 0xfe745637, REG x12: 0xfffffffffe745000
PC: 0x00000000800001cc, INSTR: 0x3f16061b, REG x12: 0xfffffffffe7453f1
PC: 0x00000000800001d0, INSTR: 0x00d61613, REG x12: 0xffffffce8a7e2000
PC: 0x00000000800001d4, INSTR: 0xb4760613, REG x12: 0xffffffce8a7e1b47
PC: 0x00000000800001d8, INSTR: 0x00c61613, REG x12: 0xfffce8a7e1b47000
PC: 0x00000000800001dc, INSTR: 0x14f60613, REG x12: 0xfffce8a7e1b4714f
PC: 0x00000000800001e0, INSTR: 0x00c61613, REG x12: 0xce8a7e1b4714f000
PC: 0x00000000800001e4, INSTR: 0x10660613, REG x12: 0xce8a7e1b4714f106
PC: 0x00000000800001e8, INSTR: 0xffd866b7, REG x13: 0xffffffffffd86000
PC: 0x00000000800001ec, INSTR: 0xa996869b, REG x13: 0xffffffffffd85a99
PC: 0x00000000800001f0, INSTR: 0x00d69693, REG x13: 0xfffffffb0b532000
PC: 0x00000000800001f4, INSTR: 0x72d68693, REG x13: 0xfffffffb0b53272d
PC: 0x00000000800001f8, INSTR: 0x00d69693, REG x13: 0xffff616a64e5a000
PC: 0x00000000800001fc, INSTR: 0xfed68693, REG x13: 0xffff616a64e59fed
PC: 0x0000000080000200, INSTR: 0x00f69693, REG x13: 0xb0b53272cff68000
PC: 0x0000000080000204, INSTR: 0x57668693, REG x13: 0xb0b53272cff68576
PC: 0x0000000080000208, INSTR: 0x9dd19737, REG x14: 0xffffffff9dd19000
PC: 0x000000008000020c, INSTR: 0x00271713, REG x14: 0xfffffffe77464000
PC: 0x0000000080000210, INSTR: 0xd2370713, REG x14: 0xfffffffe77463d23
PC: 0x0000000080000214, INSTR: 0x00e71713, REG x14: 0xffff9dd18f48c000
PC: 0x0000000080000218, INSTR: 0x83b70713, REG x14: 0xffff9dd18f48b83b
PC: 0x000000008000021c, INSTR: 0x00f71713, REG x14: 0xcee8c7a45c1d8000
PC: 0x0000000080000220, INSTR: 0xb8370713, REG x14: 0xcee8c7a45c1d7b83
PC: 0x0000000080000224, INSTR: 0x9add17b7, REG x15: 0xffffffff9add1000
PC: 0x0000000080000228, INSTR: 0x81f7879b, REG x15: 0xffffffff9add081f
PC: 0x000000008000022c, INSTR: 0x00c79793, REG x15: 0xfffff9add081f000
PC: 0x0000000080000230, INSTR: 0xeaf78793, REG x15: 0xfffff9add081eeaf
PC: 0x0000000080000234, INSTR: 0x00c79793, REG x15: 0xff9add081eeaf000
PC: 0x0000000080000238, INSTR: 0x76b78793, REG x15: 0xff9add081eeaf76b
PC: 0x000000008000023c, INSTR: 0x00479793, REG x15: 0xf9add081eeaf76b0
PC: 0x0000000080000240, INSTR: 0xfff29837, REG x16: 0xfffffffffff29000
PC: 0x0000000080000244, INSTR: 0xb9f8081b, REG x16: 0xfffffffffff28b9f
PC: 0x0000000080000248, INSTR: 0x00c81813, REG x16: 0xffffffff28b9f000
PC: 0x000000008000024c, INSTR: 0x5cb80813, REG x16: 0xffffffff28b9f5cb
PC: 0x0000000080000250, INSTR: 0x01081813, REG x16: 0xffff28b9f5cb0000
PC: 0x0000000080000254, INSTR: 0x17380813, REG x16: 0xffff28b9f5cb0173
PC: 0x0000000080000258, INSTR: 0x00c81813, REG x16: 0xf28b9f5cb0173000
PC: 0x000000008000025c, INSTR: 0x2af80813, REG x16: 0xf28b9f5cb01732af
PC: 0x0000000080000260, INSTR: 0x027818b7, REG x17: 0x0000000002781000
PC: 0x0000000080000264, INSTR: 0xce98889b, REG x17: 0x0000000002780ce9
PC: 0x0000000080000268, INSTR: 0x00d89893, REG x17: 0x0000004f019d2000
PC: 0x000000008000026c, INSTR: 0x1d988893, REG x17: 0x0000004f019d21d9
PC: 0x0000000080000270, INSTR: 0x00c89893, REG x17: 0x0004f019d21d9000
PC: 0x0000000080000274, INSTR: 0x61588893, REG x17: 0x0004f019d21d9615
PC: 0x0000000080000278, INSTR: 0x00c89893, REG x17: 0x4f019d21d9615000
PC: 0x000000008000027c, INSTR: 0xdc388893, REG x17: 0x4f019d21d9614dc3
PC: 0x0000000080000280, INSTR: 0x02113937, REG x18: 0x0000000002113000
