PC: 0x0000000080000000, INSTR: 0x08005837, REG x16: 0x0000000008005000
PC: 0x0000000080000004, INSTR: 0x00481813, REG x16: 0x0000000080050000
PC: 0x0000000080000008, INSTR: 0xff080813, REG x16: 0x000000008004fff0
PC: 0x000000008000000c, INSTR: 0x00283023, MEM 0x000000008004fff0: 0x0000000000000000
PC: 0x0000000080000010, INSTR: 0x08005137, REG x2: 0x0000000008005000
PC: 0x0000000080000014, INSTR: 0x00411113, REG x2: 0x0000000080050000
PC: 0x0000000080000018, INSTR: 0xff010113, REG x2: 0x000000008004fff0
PC: 0x000000008000001c, INSTR: 0xff010113, REG x2: 0x000000008004ffe0
PC: 0x0000000080000020, INSTR: 0x00113023, MEM 0x000000008004ffe0: 0x0000000000000000
PC: 0x0000000080000024, INSTR: 0xff010113, REG x2: 0x000000008004ffd0
PC: 0x0000000080000028, INSTR: 0x00313023, MEM 0x000000008004ffd0: 0x0000000000000000
PC: 0x000000008000002c, INSTR: 0xff010113, REG x2: 0x000000008004ffc0
PC: 0x0000000080000030, INSTR: 0x00413023, MEM 0x000000008004ffc0: 0x0000000000000000
PC: 0x0000000080000034, INSTR: 0xff010113, REG x2: 0x000000008004ffb0
PC: 0x0000000080000038, INSTR: 0x00813023, MEM 0x000000008004ffb0: 0x0000000000000000
PC: 0x000000008000003c, INSTR: 0xff010113, REG x2: 0x000000008004ffa0
PC: 0x0000000080000040, INSTR: 0x00913023, MEM 0x000000008004ffa0: 0x0000000000000000
PC: 0x0000000080000044, INSTR: 0xff010113, REG x2: 0x000000008004ff90
PC: 0x0000000080000048, INSTR: 0x01213023, MEM 0x000000008004ff90: 0x0000000000000000
PC: 0x000000008000004c, INSTR: 0xff010113, REG x2: 0x000000008004ff80
PC: 0x0000000080000050, INSTR: 0x01313023, MEM 0x000000008004ff80: 0x0000000000000000
PC: 0x0000000080000054, INSTR: 0xff010113, REG x2: 0x000000008004ff70
PC: 0x0000000080000058, INSTR: 0x01413023, MEM 0x000000008004ff70: 0x0000000000000000
PC: 0x000000008000005c, INSTR: 0xff010113, REG x2: 0x000000008004ff60
PC: 0x0000000080000060, INSTR: 0x01513023, MEM 0x000000008004ff60: 0x0000000000000000
PC: 0x0000000080000064, INSTR: 0xff010113, REG x2: 0x000000008004ff50
PC: 0x0000000080000068, INSTR: 0x01613023, MEM 0x000000008004ff50: 0x0000000000000000
PC: 0x000000008000006c, INSTR: 0xff010113, REG x2: 0x000000008004ff40
PC: 0x0000000080000070, INSTR: 0x01713023, MEM 0x000000008004ff40: 0x0000000000000000
PC: 0x0000000080000074, INSTR: 0xff010113, REG x2: 0x000000008004ff30
PC: 0x0000000080000078, INSTR: 0x01813023, MEM 0x000000008004ff30: 0x0000000000000000
PC: 0x000000008000007c, INSTR: 0xff010113, REG x2: 0x000000008004ff20
PC: 0x0000000080000080, INSTR: 0x01913023, MEM 0x000000008004ff20: 0x0000000000000000
PC: 0x0000000080000084, INSTR: 0xff010113, REG x2: 0x000000008004ff10
PC: 0x0000000080000088, INSTR: 0x01a13023, MEM 0x000000008004ff10: 0x0000000000000000
PC: 0x000000008000008c, INSTR: 0xff010113, REG x2: 0x000000008004ff00
PC: 0x0000000080000090, INSTR: 0x01b13023, MEM 0x000000008004ff00: 0x0000000000000000
PC: 0x0000000080000094, INSTR: 0xc82d90b7, REG x1: 0xffffffffc82d9000
PC: 0x0000000080000098, INSTR: 0x00209093, REG x1: 0xffffffff20b64000
PC: 0x000000008000009c, INSTR: 0xf7708093, REG x1: 0xffffffff20b63f77
PC: 0x00000000800000a0, INSTR: 0x00d09093, REG x1: 0xffffe416c7eee000
PC: 0x00000000800000a4, INSTR: 0x6dd08093, REG x1: 0xffffe416c7eee6dd
PC: 0x00000000800000a8, INSTR: 0x00c09093, REG x1: 0xfe416c7eee6dd000
PC: 0x00000000800000ac, INSTR: 0x6aa08093, REG x1: 0xfe416c7eee6dd6aa
PC: 0x00000000800000b0, INSTR: 0x068d21b7, REG x3: 0x00000000068d2000
PC: 0x00000000800000b4, INSTR: 0xc4f1819b, REG x3: 0x00000000068d1c4f
PC: 0x00000000800000b8, INSTR: 0x00c19193, REG x3: 0x00000068d1c4f000
PC: 0x00000000800000bc, INSTR: 0xb1b18193, REG x3: 0x00000068d1c4eb1b
PC: 0x00000000800000c0, INSTR: 0x00c19193, REG x3: 0x00068d1c4eb1b000
PC: 0x00000000800000c4, INSTR: 0xefb18193, REG x3: 0x00068d1c4eb1aefb
PC: 0x00000000800000c8, INSTR: 0x00c19193, REG x3: 0x68d1c4eb1aefb000
PC: 0x00000000800000cc, INSTR: 0xa9e18193, REG x3: 0x68d1c4eb1aefaa9e
PC: 0x00000000800000d0, INSTR: 0xfe24e237, REG x4: 0xfffffffffe24e000
PC: 0x00000000800000d4, INSTR: 0x0992021b, REG x4: 0xfffffffffe24e099
PC: 0x00000000800000d8, INSTR: 0x00e21213, REG x4: 0xffffff8938264000
PC: 0x00000000800000dc, INSTR: 0x4a520213, REG x4: 0xffffff89382644a5
PC: 0x00000000800000e0, INSTR: 0x00c21213, REG x4: 0xfff89382644a5000
PC: 0x00000000800000e4, INSTR: 0x21720213, REG x4: 0xfff89382644a5217
PC: 0x00000000800000e8, INSTR: 0x00c21213, REG x4: 0x89382644a5217000
PC: 0x00000000800000ec, INSTR: 0x8ea20213, REG x4: 0x89382644a52168ea
PC: 0x00000000800000f0, INSTR: 0xffe222b7, REG x5: 0xffffffffffe22000
PC: 0x00000000800000f4, INSTR: 0x64b2829b, REG x5: 0xffffffffffe2264b
PC: 0x00000000800000f8, INSTR: 0x00d29293, REG x5: 0xfffffffc44c96000
PC: 0x00000000800000fc, INSTR: 0xb2f28293, REG x5: 0xfffffffc44c95b2f
PC: 0x0000000080000100, INSTR: 0x00c29293, REG x5: 0xffffc44c95b2f000
PC: 0x0000000080000104, INSTR: 0x43328293, REG x5: 0xffffc44c95b2f433
PC: 0x0000000080000108, INSTR: 0x00d29293, REG x5: 0xf88992b65e866000
PC: 0x000000008000010c, INSTR: 0xe4228293, REG x5: 0xf88992b65e865e42
PC: 0x0000000080000110, INSTR: 0x003f4337, REG x6: 0x00000000003f4000
PC: 0x0000000080000114, INSTR: 0x8393031b, REG x6: 0x00000000003f3839
PC: 0x0000000080000118, INSTR: 0x01131313, REG x6: 0x0000007e70720000
PC: 0x000000008000011c, INSTR: 0xf4b30313, REG x6: 0x0000007e7071ff4b
PC: 0x0000000080000120, INSTR: 0x00c31313, REG x6: 0x0007e7071ff4b000
PC: 0x0000000080000124, INSTR: 0x9fd30313, REG x6: 0x0007e7071ff4a9fd
PC: 0x0000000080000128, INSTR: 0x00c31313, REG x6: 0x7e7071ff4a9fd000
PC: 0x000000008000012c, INSTR: 0x7b930313, REG x6: 0x7e7071ff4a9fd7b9
PC: 0x0000000080000130, INSTR: 0x8d3763b7, REG x7: 0xffffffff8d376000
PC: 0x0000000080000134, INSTR: 0xb5d3839b, REG x7: 0xffffffff8d375b5d
PC: 0x0000000080000138, INSTR: 0x00d39393, REG x7: 0xfffff1a6eb6ba000
PC: 0x000000008000013c, INSTR: 0x99d38393, REG x7: 0xfffff1a6eb6b999d
PC: 0x0000000080000140, INSTR: 0x01039393, REG x7: 0xf1a6eb6b999d0000
PC: 0x0000000080000144, INSTR: 0x33138393, REG x7: 0xf1a6eb6b999d0331
PC: 0x0000000080000148, INSTR: 0x00239393, REG x7: 0xc69badae66740cc4
PC: 0x000000008000014c, INSTR: 0x0153a437, REG x8: 0x000000000153a000
PC: 0x0000000080000150, INSTR: 0xf9b4041b, REG x8: 0x0000000001539f9b
PC: 0x0000000080000154, INSTR: 0x00c41413, REG x8: 0x0000001539f9b000
PC: 0x0000000080000158, INSTR: 0x6f140413, REG x8: 0x0000001539f9b6f1
PC: 0x000000008000015c, INSTR: 0x00e41413, REG x8: 0x00054e7e6dbc4000
PC: 0x0000000080000160, INSTR: 0x98740413, REG x8: 0x00054e7e6dbc3987
PC: 0x0000000080000164, INSTR: 0x00c41413, REG x8: 0x54e7e6dbc3987000
PC: 0x0000000080000168, INSTR: 0x11140413, REG x8: 0x54e7e6dbc3987111
PC: 0x000000008000016c, INSTR: 0xfff3d4b7, REG x9: 0xfffffffffff3d000
PC: 0x0000000080000170, INSTR: 0x2474849b, REG x9: 0xfffffffffff3d247
PC: 0x0000000080000174, INSTR: 0x00d49493, REG x9: 0xfffffffe7a48e000
PC: 0x0000000080000178, INSTR: 0x6db48493, REG x9: 0xfffffffe7a48e6db
PC: 0x000000008000017c, INSTR: 0x00d49493, REG x9: 0xffffcf491cdb6000
PC: 0x0000000080000180, INSTR: 0x27d48493, REG x9: 0xffffcf491cdb627d
PC: 0x0000000080000184, INSTR: 0x01049493, REG x9: 0xcf491cdb627d0000
PC: 0x0000000080000188, INSTR: 0x33648493, REG x9: 0xcf491cdb627d0336
PC: 0x000000008000018c, INSTR: 0x010b6537, REG x10: 0x00000000010b6000
PC: 0x0000000080000190, INSTR: 0xff35051b, REG x10: 0x00000000010b5ff3
PC: 0x0000000080000194, INSTR: 0x00d51513, REG x10: 0x000000216bfe6000
PC: 0x0000000080000198, INSTR: 0xb1950513, REG x10: 0x000000216bfe5b19
PC: 0x000000008000019c, INSTR: 0x00c51513, REG x10: 0x000216bfe5b19000
PC: 0x00000000800001a0, INSTR: 0x44350513, REG x10: 0x000216bfe5b19443
PC: 0x00000000800001a4, INSTR: 0x00d51513, REG x10: 0x42d7fcb632886000
PC: 0x00000000800001a8, INSTR: 0x05d50513, REG x10: 0x42d7fcb63288605d
PC: 0x00000000800001ac, INSTR: 0x01df25b7, REG x11: 0x0000000001df2000
PC: 0x00000000800001b0, INSTR: 0xf455859b, REG x11: 0x0000000001df1f45
PC: 0x00000000800001b4, INSTR: 0x00c59593, REG x11: 0x0000001df1f45000
PC: 0x00000000800001b8, INSTR: 0xc5758593, REG x11: 0x0000001df1f44c57
PC: 0x00000000800001bc, INSTR: 0x00c59593, REG x11: 0x0001df1f44c57000
PC: 0x00000000800001c0, INSTR: 0xb1f58593, REG x11: 0x0001df1f44c56b1f
PC: 0x00000000800001c4, INSTR: 0x00d59593, REG x11: 0x3be3e898ad63e000
PC: 0x00000000800001c8, INSTR: 0x03158593, REG x11: 0x3be3e898ad63e031
PC: 0x00000000800001cc, INSTR: 0xfd550637, REG x12: 0xfffffffffd550000
PC: 0x00000000800001d0, INSTR: 0xdc56061b, REG x12: 0xfffffffffd54fdc5
PC: 0x00000000800001d4, INSTR: 0x00c61613, REG x12: 0xffffffd54fdc5000
PC: 0x00000000800001d8, INSTR: 0xcb960613, REG x12: 0xffffffd54fdc4cb9
PC: 0x00000000800001dc, INSTR: 0x00c61613, REG x12: 0xfffd54fdc4cb9000
PC: 0x00000000800001e0, INSTR: 0xe4360613, REG x12: 0xfffd54fdc4cb8e43
PC: 0x00000000800001e4, INSTR: 0x00c61613, REG x12: 0xd54fdc4cb8e43000
PC: 0x00000000800001e8, INSTR: 0x3f760613, REG x12: 0xd54fdc4cb8e433f7
PC: 0x00000000800001ec, INSTR: 0xff27f6b7, REG x13: 0xffffffffff27f000
PC: 0x00000000800001f0, INSTR: 0x92b6869b, REG x13: 0xffffffffff27e92b
PC: 0x00000000800001f4, INSTR: 0x00d69693, REG x13: 0xffffffe4fd256000
PC: 0x00000000800001f8, INSTR: 0x5d768693, REG x13: 0xffffffe4fd2565d7
PC: 0x00000000800001fc, INSTR: 0x00d69693, REG x13: 0xfffc9fa4acbae000
PC: 0x0000000080000200, INSTR: 0xadb68693, REG x13: 0xfffc9fa4acbadadb
PC: 0x0000000080000204, INSTR: 0x00d69693, REG x13: 0x93f495975b5b6000
PC: 0x0000000080000208, INSTR: 0xd4368693, REG x13: 0x93f495975b5b5d43
PC: 0x000000008000020c, INSTR: 0xff934737, REG x14: 0xffffffffff934000
PC: 0x0000000080000210, INSTR: 0x51b7071b, REG x14: 0xffffffffff93451b
PC: 0x0000000080000214, INSTR: 0x00f71713, REG x14: 0xffffffc9a28d8000
PC: 0x0000000080000218, INSTR: 0x81770713, REG x14: 0xffffffc9a28d7817
PC: 0x000000008000021c, INSTR: 0x00c71713, REG x14: 0xfffc9a28d7817000
PC: 0x0000000080000220, INSTR: 0xf9170713, REG x14: 0xfffc9a28d7816f91
PC: 0x0000000080000224, INSTR: 0x00d71713, REG x14: 0x93451af02df22000
PC: 0x0000000080000228, INSTR: 0x7d970713, REG x14: 0x93451af02df227d9
PC: 0x000000008000022c, INSTR: 0x001cd7b7, REG x15: 0x00000000001cd000
PC: 0x0000000080000230, INSTR: 0x9497879b, REG x15: 0x00000000001cc949
PC: 0x0000000080000234, INSTR: 0x00c79793, REG x15: 0x00000001cc949000
PC: 0x0000000080000238, INSTR: 0xa2578793, REG x15: 0x00000001cc948a25
PC: 0x000000008000023c, INSTR: 0x00e79793, REG x15: 0x0000732522894000
PC: 0x0000000080000240, INSTR: 0x7c378793, REG x15: 0x00007325228947c3
PC: 0x0000000080000244, INSTR: 0x00c79793, REG x15: 0x07325228947c3000
PC: 0x0000000080000248, INSTR: 0xc4e78793, REG x15: 0x07325228947c2c4e
PC: 0x000000008000024c, INSTR: 0xffd71837, REG x16: 0xffffffffffd71000
PC: 0x0000000080000250, INSTR: 0xa498081b, REG x16: 0xffffffffffd70a49
PC: 0x0000000080000254, INSTR: 0x00c81813, REG x16: 0xfffffffd70a49000
PC: 0x0000000080000258, INSTR: 0x9dd80813, REG x16: 0xfffffffd70a489dd
PC: 0x000000008000025c, INSTR: 0x01081813, REG x16: 0xfffd70a489dd0000
PC: 0x0000000080000260, INSTR: 0x25f80813, REG x16: 0xfffd70a489dd025f
PC: 0x0000000080000264, INSTR: 0x00c81813, REG x16: 0xd70a489dd025f000
PC: 0x0000000080000268, INSTR: 0xaa980813, REG x16: 0xd70a489dd025eaa9
PC: 0x000000008000026c, INSTR: 0x3cdc78b7, REG x17: 0x000000003cdc7000
PC: 0x0000000080000270, INSTR: 0xef38889b, REG x17: 0x000000003cdc6ef3
PC: 0x0000000080000274, INSTR: 0x00d89893, REG x17: 0x0000079b8dde6000
PC: 0x0000000080000278, INSTR: 0x60588893, REG x17: 0x0000079b8dde6605
PC: 0x000000008000027c, INSTR: 0x01289893, REG x17: 0x1e6e377998140000
